ID,技能名,描述,战斗回合高于X时,战斗回合低于X时,己方战力高于X%时,己方战力低于X%时,敌方战力高于X%时,敌方战力低于X%时,上回合是否击中（1击中2未命中3敌方命中4敌方未命中）,敌我血量高低判断（1.我方高于敌方2.我方低于敌方3我方等于敌方）,Y发动概率,次数限制,技能效果,Z参数,参数2,命中生效,己方四维变化,敌方四维变化,修改回合数,虚弱,无法闪避,无视防御,封印技能效果,封印回合,封印x概率以上,封印x概率以下,动画id,增加四维先攻,增加四维防御,增加四维闪避,增加四维王者
number,string,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,string,string,number,number,boolean,boolean,number,number,number,number,number,number,number,number,number
ID,name,desc,turn_cond1,turn_cond2,self_bp_cond1,self_bp_cond2,enemy_bp_cond1,enemy_bp_cond2,turn_cond3,cur_bp_cond,trigger_chance,times_limit,effect_type,param,param2,need_hit,self_property,enemy_property,turn_fixed,exhaust_turn,ignore_dodge,ignore_defense,seal_turneffect,seal_turn,seal_cond1,seal_cond2,animation_id,speed,defense,dodge,authority
1000001,普通攻击,,,,,,,,,,100,999,1,100,,,,,,,,,,,,,142,0,0,0,0
1100001,突牙斩,己方战力低于30%时，22%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,30,,,,,22,15,2,150,,,,,,,1,,,,,,166,0,0,0,0
1100002,要害射击,7%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,7,15,2,150,,,,,,,1,,,,,,150,0,0,0,0
1100003,低买高卖,不要小看商人的破坏力，6%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,6,15,2,150,,,,,,,1,,,,,,150,0,0,0,0
1100004,炎之爆裂,15%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,15,15,2,150,,,,,,,1,,,,,,151,0,0,0,0
1100005,魔化腐蚀,6%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,6,15,2,150,,,,,,,1,,,,,,158,0,0,0,0
1100006,屠狮之力,9%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,9,15,2,150,,,,,,,1,,,,,,163,0,0,0,0
1100007,破魔之击,9%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,9,15,2,150,,,,,,,1,,,,,,150,0,0,0,0
1100008,流星突,12%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,12,15,2,150,,,,,,,1,,,,,,150,0,0,0,0
1100009,无光之击,20%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,20,15,2,150,,,,,,,1,,,,,,4,0,0,0,0
1100010,恩赐圣剑,敌方战力低于40%时，35%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,40,,,35,15,2,150,,,,,,,1,,,,,,32,0,0,0,0
1100011,以太爆破,怪物技能,5,,,,,,,,15,15,2,150,,,,,,,1,,,,,,171,0,0,0,0
1100012,大魔之刺,10%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,10,15,2,150,,,,,,,1,,,,,,150,0,0,0,0
1100013,静脉切割,12%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,12,15,2,150,,,,,,,1,,,,,,162,0,0,0,0
1100014,末日燃烧,13%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,13,15,2,150,,,,,,,1,,,,,,22,0,0,0,0
1100015,落日之击,战斗回合高于12回时，50%概率造成暴击，暴击时造成300%的伤害且对方无法闪避。,12,,,,,,,,50,1,2,300,,,,,,,1,,,,,,5,0,0,0,0
1100016,夺命追杀,8%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。,,,,,,,,,8,15,2,150,,,,,,,1,,,,,,186,0,0,0,0
1100017,虎威棒,10%概率造成暴击，暴击时造成160%的伤害且对方无法闪避。,,,,,,,,,10,15,2,160,,,,,,,1,,,,,,186,0,0,0,0
1100018,落日流星,5%概率造成暴击，暴击时造成190%的伤害且对方无法闪避。,,,,,,,,,5,15,2,190,,,,,,,1,,,,,,4,0,0,0,0
1100019,时代的怪兽（弃用）,6%概率造成暴击，暴击时造成150%的伤害且对方无法闪避。防御等级提高5。,,,,,,,,,6,15,2,150,,,,,,,1,,,,,,162,0,0,0,0
1100020,凤仪掷戟,合体技,,,,,,,,,5,1,2,190,,,,,,,1,,,,,,150,0,0,0,0
1100021,万花雨扇·绝,合体技,,,,,,8,,,100,1,2,150,,,,,,,1,,,,,,128,0,0,0,0
1100022,命运铁王座,合体技,,,,,,,,,8,15,2,160,,,,,,,1,,,,,,165,0,0,0,0
1100023,命运的双刃正,合体技,,,,,,,,,10,15,2,1,,,,,,,1,,,,,,165,0,0,0,0
1100024,命运的双刃返,合体技,,,,,,,,,10,15,2,200,,,,,,,1,,,,,,164,0,0,0,0
