ID,地点名,收益ID,关卡类型,战斗场景,场景音乐,默认开启,描述,场景怪物列表,图标,首掉频率,首次掉落组,随后频率,地点掉落组,事件1探索时间,事件1,宝箱掉落,场景类型
number,string,number,number,string,string,boolean,string,string,string,number,number,number,number,number,number,number,number
ID,name,income_id,type,scene,music,can_open,desc,monster_sprites,icon,box_time1,box_reward1,box_time2,box_reward2,event_time,event_id,max_box_time,maze_bg_type
100001,1-1,1,1,spring,field,1,大乔，小乔，黄月英,13000001|13000002,icon/maze/spring,1,110000001,3600,110000001,1,1000001,,16
100002,1-2,1,2,spring,mining,,吕布，貂蝉,13000001|13000002,icon/maze/spring,2,110000002,3600,110000002,3,1000002,,16
100003,1-3,1,3,spring,field,,曹操,13000001|13000002,icon/maze/spring,3,110100004,3600,110100004,5,1000003,,16
100004,1-4,1,4,spring,mining,,五虎,13000001|11000019|11000018,icon/maze/spring,4,110100005,14400,110100005,6,1000004,,16
100005,1-5,1,5,spring,boss,,全阵容,13000001|13000002,icon/maze/spring,5,300100005,3600,200100005,10,1000005,1800,16
100006,2-1,2,1,relic,city,,松平片栗虎,10000005|10000002,icon/maze/relic,6,110000001,3600,110000001,11,1000006,,15
100007,2-2,2,2,relic,mining,,猿飞菖蒲,11000016|11000017|11000018|11000019,icon/maze/relic,7,110000002,3600,110000002,12,1000007,,15
100008,2-3,2,3,relic,field,,坂本辰马,11000025|11000011,icon/maze/relic,8,110100009,3600,110100009,13,1000008,,15
100009,2-4,2,4,relic,field,,志村妙,11000019|11000018|11000017|11000016,icon/maze/relic,14400,110100010,14400,110100010,14,1000009,,15
100010,2-5,2,5,relic,boss,,高杉晋助,13000017|13000011|13000006,icon/maze/relic,3600,300100010,3600,200100010,15,1000010,1800,15
100011,3-1,3,1,ether,field,,桂,11000001|11000002,icon/maze/ether,3600,110000001,3600,110000001,20,1000011,,4
100012,3-2,3,2,ether,mining,,土方十四郎,11000001|11000002|11000003|17000025|17000026|17000027,icon/maze/ether,3600,110000002,3600,110000002,20,1000012,,4
100013,3-3,3,3,ether,field,,志村新八,11000001|11000002|11000003|17000025|17000026|17000027|18000011|18000022,icon/maze/ether,40,110100014,3600,110100014,20,1000013,,4
100014,3-4,3,4,ether,mining,,神乐,11000001|11000002|11000003|17000025|17000026|17000027|18000011|18000022|19000041|18000032,icon/maze/ether,50,110100015,14400,110100015,20,1000014,,4
