ID,祈祷转化参数,炼金转化参数,灵魂碎片,灵魂碎片,灵魂碎片
number,number,number,number,number,number
ID,prayer_parameter,alchemy_parameter,soul_chip_1,soul_chip_2,soul_chip_3
1,2,2,0,0,0
2,6,6,0,0,0
3,10,10,0,0,0
4,14,14,0,0,0
5,18,18,0,0,0
6,22,22,0,0,0
7,26,26,0,0,0
8,30,30,0,0,0
9,34,34,0,0,0
10,38,38,0,0,0
11,42,42,0,0,0
12,46,46,0,0,0
13,50,50,0,0,0
14,54,54,0,0,0
15,60,60,0,0,0
16,66,66,10,20,50
17,72,72,10,20,50
18,78,78,10,20,50
19,84,84,10,20,50
20,90,90,10,20,50
21,96,96,10,20,50
22,102,102,10,20,50
23,110,110,10,20,50
24,118,118,10,20,50
25,126,126,10,20,50
26,134,134,10,20,50
27,142,142,10,20,50
28,150,150,10,20,50
29,158,158,10,20,50
30,168,168,10,20,50
31,178,178,16,30,76
32,188,188,16,30,76
33,198,198,16,30,76
34,208,208,16,30,76
35,220,220,16,30,76
36,232,232,16,30,76
37,244,244,16,30,76
38,256,256,16,30,76
39,268,268,16,30,76
40,280,280,16,30,76
41,292,292,16,30,76
42,304,304,16,30,76
43,316,316,16,30,76
44,328,328,16,30,76
45,340,340,16,30,76
46,352,352,16,30,76
47,364,364,16,30,76
48,376,376,16,30,76
49,388,388,16,30,76
50,400,400,16,30,76
51,412,412,16,30,76
52,424,424,16,30,76
53,436,436,16,30,76
54,448,448,16,30,76
55,460,460,16,30,76
56,472,472,16,30,76
57,484,484,16,30,76
58,496,496,16,30,76
59,508,508,16,30,76
60,520,520,16,30,76
61,532,532,26,50,126
62,544,544,26,50,126
63,556,556,26,50,126
64,568,568,26,50,126
65,580,580,26,50,126
66,592,592,26,50,126
67,604,604,26,50,126
68,616,616,26,50,126
69,628,628,26,50,126
70,640,640,26,50,126
71,652,652,26,50,126
72,664,664,26,50,126
73,676,676,26,50,126
74,688,688,26,50,126
75,700,700,26,50,126
76,712,712,26,50,126
77,724,724,26,50,126
78,736,736,26,50,126
79,748,748,26,50,126
80,760,760,26,50,126
81,772,772,26,50,126
82,784,784,26,50,126
83,796,796,26,50,126
84,808,808,26,50,126
85,820,820,26,50,126
86,832,832,26,50,126
87,844,844,26,50,126
88,856,856,26,50,126
89,868,868,26,50,126
90,880,880,26,50,126
91,892,892,36,70,176
92,904,904,36,70,176
93,916,916,36,70,176
94,928,928,36,70,176
95,940,940,36,70,176
96,952,952,36,70,176
97,964,964,36,70,176
98,976,976,36,70,176
99,988,988,36,70,176
100,1000,1000,36,70,176
101,1012,1012,36,70,176
102,1024,1024,36,70,176
103,1036,1036,36,70,176
104,1048,1048,36,70,176
105,1060,1060,36,70,176
106,1072,1072,36,70,176
107,1084,1084,36,70,176
108,1096,1096,36,70,176
109,1108,1108,36,70,176
110,1120,1120,36,70,176
111,1132,1132,36,70,176
112,1144,1144,36,70,176
113,1156,1156,36,70,176
114,1168,1168,36,70,176
115,1180,1180,36,70,176
116,1192,1192,36,70,176
117,1204,1204,36,70,176
118,1216,1216,36,70,176
119,1228,1228,36,70,176
120,1240,1240,36,70,176
121,1252,1252,50,100,250
122,1264,1264,50,100,250
123,1276,1276,50,100,250
124,1288,1288,50,100,250
125,1300,1300,50,100,250
126,1312,1312,50,100,250
127,1324,1324,50,100,250
128,1336,1336,50,100,250
129,1348,1348,50,100,250
130,1360,1360,50,100,250
131,1372,1372,50,100,250
132,1384,1384,50,100,250
133,1396,1396,50,100,250
134,1408,1408,50,100,250
135,1420,1420,50,100,250
136,1432,1432,50,100,250
137,1444,1444,50,100,250
138,1456,1456,50,100,250
139,1468,1468,50,100,250
140,1480,1480,50,100,250
141,1492,1492,50,100,250
142,1504,1504,50,100,250
143,1516,1516,50,100,250
144,1528,1528,50,100,250
145,1540,1540,50,100,250
146,1552,1552,50,100,250
147,1564,1564,50,100,250
148,1576,1576,50,100,250
149,1588,1588,50,100,250
150,1600,1600,50,100,250
151,1612,1612,50,100,250
152,1624,1624,50,100,250
153,1636,1636,50,100,250
154,1648,1648,50,100,250
155,1660,1660,50,100,250
156,1672,1672,50,100,250
157,1684,1684,50,100,250
158,1696,1696,50,100,250
159,1708,1708,50,100,250
160,1720,1720,50,100,250
161,1732,1732,50,100,250
162,1744,1744,50,100,250
163,1756,1756,50,100,250
164,1768,1768,50,100,250
165,1780,1780,50,100,250
166,1792,1792,50,100,250
167,1804,1804,50,100,250
168,1816,1816,50,100,250
169,1828,1828,50,100,250
170,1840,1840,50,100,250
171,1852,1852,50,100,250
172,1864,1864,50,100,250
173,1876,1876,50,100,250
174,1888,1888,50,100,250
175,1900,1900,50,100,250
176,1912,1912,50,100,250
177,1924,1924,50,100,250
178,1936,1936,50,100,250
179,1948,1948,50,100,250
180,1960,1960,50,100,250
181,1972,1972,60,120,300
182,1984,1984,60,120,300
183,1996,1996,60,120,300
184,2008,2008,60,120,300
185,2020,2020,60,120,300
186,2032,2032,60,120,300
187,2044,2044,60,120,300
188,2056,2056,60,120,300
189,2068,2068,60,120,300
190,2080,2080,60,120,300
191,2092,2092,60,120,300
192,2104,2104,60,120,300
193,2116,2116,60,120,300
194,2128,2128,60,120,300
195,2140,2140,60,120,300
196,2152,2152,60,120,300
197,2164,2164,60,120,300
198,2176,2176,60,120,300
199,2188,2188,60,120,300
200,2200,2200,60,120,300
201,2212,2212,60,120,300
202,2224,2224,60,120,300
203,2236,2236,60,120,300
204,2248,2248,60,120,300
205,2260,2260,60,120,300
206,2272,2272,60,120,300
207,2284,2284,60,120,300
208,2296,2296,60,120,300
209,2308,2308,60,120,300
210,2320,2320,60,120,300
211,2332,2332,70,140,350
212,2344,2344,70,140,350
213,2356,2356,70,140,350
214,2368,2368,70,140,350
215,2380,2380,70,140,350
216,2392,2392,70,140,350
217,2404,2404,70,140,350
218,2416,2416,70,140,350
219,2428,2428,70,140,350
220,2440,2440,70,140,350
221,2452,2452,70,140,350
222,2464,2464,70,140,350
223,2476,2476,70,140,350
224,2488,2488,70,140,350
225,2500,2500,70,140,350
226,2512,2512,70,140,350
227,2524,2524,70,140,350
228,2536,2536,70,140,350
229,2548,2548,70,140,350
230,2560,2560,70,140,350
231,2572,2572,70,140,350
232,2584,2584,70,140,350
233,2596,2596,70,140,350
234,2608,2608,70,140,350
235,2620,2620,70,140,350
236,2632,2632,70,140,350
237,2644,2644,70,140,350
238,2656,2656,70,140,350
239,2668,2668,70,140,350
240,2680,2680,70,140,350
241,2692,2692,80,160,400
242,2704,2704,80,160,400
243,2716,2716,80,160,400
244,2728,2728,80,160,400
245,2740,2740,80,160,400
246,2752,2752,80,160,400
247,2764,2764,80,160,400
248,2776,2776,80,160,400
249,2788,2788,80,160,400
250,2800,2800,80,160,400
251,2812,2812,80,160,400
252,2824,2824,80,160,400
253,2836,2836,80,160,400
254,2848,2848,80,160,400
255,2860,2860,80,160,400
256,2872,2872,80,160,400
257,2884,2884,80,160,400
