ID,功能,开关,描述（策划自己看看）
number,string,boolean,string
ID,feature_key,feature_value,desc1
1,review,0,审核
2,craft_soul_stone,1,灵魂石合成
3,contract,1,契约
4,contract_soul_bone,0,契约魂骨
5,merchant,1,黑市
6,open_chest,1,
7,guild,1,公会
8,cave_boss,1,矿区Boss
9,magic_shop,1,积分商城
10,server_pvp,1,跨服PvP
11,mining_random_event,1,矿区随机事件
12,quick_battle,1,快速战斗
13,forge_ticket,1,宝具锻造券
14,guild_boss,1,公会Boss
15,limited_package,1,限时礼包
16,rune_and_tramcar,1,符文矿车
17,guild_war,1,公会战
18,resource_jump,1,资源跳转
19,artifact_upgrade,1,宝具升级
20,merchant_refresh_limit,0,黑市刷新次数限制及消耗读表
21,novice_can_skip,1,跳过新手引导
22,card_not_first_pay,0,月卡不算首冲
23,auto_fire_mercenary,1,自动解雇佣兵
24,load_remote_carnival_config,0,加载远端活动配表
25,load_remote_reward_group_config,0,加载远端奖励组配表
26,load_remote_reward_lucky_config,0,加载远端奖励组配表
27,load_old_merchant_config,1,加载老版本的黑市配表（国服）
28,mine_and_cultivation,1,开启修炼系统
29,log_to_server,1,发送日志到数据中心
30,share_sdk,0,分享开关
31,ladder_grade,1,开启天梯赛系统
32,expedition_and_destiny_weapon,1,天梯和宿命武器升星
33,evolution_role,1,角色换装闪金功能
34,year_summary,1,年度总结开关
35,chat_world,1,聊天功能
36,resource_recycle,1,钻地系统
37,title,1,称号系统
38,rune_exchange,1,符文转移
39,vanity_adventure,1,虚空大冒险
