ID,类型,返利天数,返利类型,子类型,返利数量,描述
number,number,number,string,string,string,string
ID,type,step,reward_type,param1,param2,desc
1,1,1,2|1,2|10000020,500|1,投資后可獲得大量血鑽與道具
2,1,2,2|2|2,2|29|3,50|5|100,
3,1,3,2|2|2,2|29|3,50|5|100,
4,1,4,2|2|2,2|29|3,50|5|100,
5,1,5,2|2|2,2|29|3,50|5|100,
6,1,6,2|2|2,2|29|3,50|5|100,
7,1,7,2|2|2,2|29|3,50|5|100,
8,1,8,2|2|2,2|29|3,50|5|100,
9,1,9,2|2|2,2|29|3,50|5|100,
10,1,10,2|2|2,2|29|3,50|5|100,
11,1,11,2|2|2,2|29|3,50|5|100,
12,1,12,2|2|2,2|29|3,50|5|100,
13,1,13,2|2|2,2|29|3,50|5|100,
14,1,14,2|2|2,2|29|3,50|5|100,
15,1,15,2|2|2,2|29|3,50|5|100,
16,1,16,2|2|2,2|29|3,50|5|100,
17,1,17,2|2|2,2|29|3,50|5|100,
18,1,18,2|2|2,2|29|3,50|5|100,
19,1,19,2|2|2,2|29|3,50|5|100,
20,1,20,2|2|2,2|29|3,50|5|100,
21,1,21,2|2|2,2|29|3,50|5|100,
22,1,22,2|2|2,2|29|3,50|5|100,
23,1,23,2|2|2,2|29|3,50|5|100,
24,1,24,2|2|2,2|29|3,50|5|100,
25,1,25,2|2|2,2|29|3,50|5|100,
26,1,26,2|2|2,2|29|3,50|5|100,
27,1,27,2|2|2,2|29|3,50|5|100,
28,1,28,2|2|2,2|29|3,50|5|100,
29,1,29,2|2|2,2|29|3,50|5|100,
30,1,30,2|2|2,2|29|3,50|5|100,
31,1,31,2|2|2,2|29|3,50|5|100,
32,2,1,2|13,2|8,2500|1,投資后可獲得大量血鑽與道具
33,2,2,2|2|2,2|29|3,334|5|500,
34,2,3,2|2|2,2|29|3,334|5|500,
35,2,4,2|2|2,2|29|3,334|5|500,
36,2,5,2|2|2,2|29|3,334|5|500,
37,2,6,2|2|2,2|29|3,334|5|500,
38,2,7,2|2|2,2|29|3,334|5|500,
39,2,8,2|2|2,2|29|3,334|5|500,
40,2,9,2|2|2,2|29|3,334|5|500,
41,2,10,2|2|2,2|29|3,334|5|500,
42,2,11,2|2|2,2|29|3,334|5|500,
43,2,12,2|2|2,2|29|3,334|5|500,
44,2,13,2|2|2,2|29|3,334|5|500,
45,2,14,2|2|2,2|29|3,334|5|500,
46,2,15,2|2|2,2|29|3,334|5|500,
47,2,16,2|2|2,2|29|3,334|5|500,
48,2,17,2|2|2,2|29|3,334|5|500,
49,2,18,2|2|2,2|29|3,334|5|500,
50,2,19,2|2|2,2|29|3,334|5|500,
51,2,20,2|2|2,2|29|3,334|5|500,
52,2,21,2|2|2,2|29|3,334|5|500,
53,2,22,2|2|2,2|29|3,345|5|500,
54,2,23,2|2|2,2|29|3,345|5|500,
55,2,24,2|2|2,2|29|3,345|5|500,
56,2,25,2|2|2,2|29|3,345|5|500,
57,2,26,2|2|2,2|29|3,345|5|500,
58,2,27,2|2|2,2|29|3,345|5|500,
59,2,28,2|2|2,2|29|3,345|5|500,
60,2,29,2|2|2,2|29|3,345|5|500,
61,2,30,2|2|2,2|29|3,345|5|500,
62,2,31,2|2|2,2|29|3,345|5|500,
63,3,1,2|13,2|8,10000|2,投資后可獲得大量血鑽與道具
64,3,2,2|2|2,2|42|3,1667|5|2000,
65,3,3,2|2|2,2|42|3,1667|5|2000,
66,3,4,2|2|2,2|42|3,1667|5|2000,
67,3,5,2|2|2,2|42|3,1667|5|2000,
68,3,6,2|2|2,2|42|3,1667|5|2000,
69,3,7,2|2|2,2|42|3,1667|5|2000,
70,3,8,2|2|2,2|42|3,1667|5|2000,
71,3,9,2|2|2,2|42|3,1667|5|2000,
72,3,10,2|2|2,2|42|3,1667|5|2000,
73,3,11,2|2|2,2|42|3,1667|5|2000,
