ID,事件名,事件描述,怪物ID,最大战力,奖励组1（每日前三次攻打收益）,奖励组2（每日3次后攻打收益）,BOSS被击杀掉落,结算到该BOSS奖励组1（给参与过公会成员）,结算到该BOSS奖励组2（给未曾参与过公会成员）
number,string,string,number,number,number,number,number,number,number
ID,name,desc,master_id,max_bp,reward_group1,reward_group2,kill_boss_group,boss_group1,boss_group2
1,首战,怀着忐忑的心情，勇士们通过传送门，进入了首领的领地。试炼，就此开启。,9100030,30720000,870000101,870000102,870000201,870000316,870000301
2,第二战,首战告捷！勇士们擦去身上的灰尘，向试炼塔的上层迈进。,9100031,336000000,870000101,870000102,870000202,870000317,870000302
3,第三战,很快，第二个首领也倒下了，难以置信，在试炼中已经达到了如此的高度。,9100032,768000000,870000101,870000102,870000203,870000318,870000303
4,第四战,连胜的道路上！,9100033,1536000000,870000101,870000102,870000204,870000319,870000304
5,第五战,阶段性检验！,9100034,2476800000,870000101,870000102,870000205,870000320,870000305
6,第六战,继续征途！,9100035,4608000000,870000103,870000104,870000206,870000321,870000306
7,第七战,前进，前进！,9100036,10560000000,870000103,870000104,870000207,870000322,870000307
8,第八战,嗷嗷嗷！,9100037,12960000000,870000103,870000104,870000208,870000323,870000308
9,第九战,九个串一串！,9100038,25920000000,870000103,870000104,870000209,870000324,870000309
10,第十战,十全十美！,9100039,33280000000,870000103,870000104,870000210,870000325,870000310
11,重新开始,又一轮新挑战,9100040,64800000000,870000105,870000106,870000211,870000326,870000311
12,第二轮,艰难前行！,9100041,75600000000,870000105,870000106,870000212,870000327,870000312
13,还有三个,依然坚持！,9100042,76824000000,870000105,870000106,870000213,870000328,870000313
14,倒数第二,得见曙光！,9100043,112320000000,870000105,870000106,870000214,870000329,870000314
15,最终战,BOOM！！！！,9100044,926000000000,870000105,870000106,870000215,870000330,870000315
