ID,开始时间
number,string
ID,begin_time
1,2016-09-20-10
2,2016-09-21-10
3,2016-09-22-10
4,2016-09-30-10
5,2016-10-01-10
6,2016-10-02-10
7,2016-10-03-10
8,2016-10-13-24
9,2016-10-14-18
10,2016-10-18-00
11,2016-11-1-00
12,2016-11-8-00
13,2016-11-22-00
14,2016-11-30-00
15,2016-12-7-00
16,2016-12-14-00
17,2016-12-21-00
18,2016-12-28-00
19,2017-1-4-00
20,2017-1-11-00
21,2017-1-18-00
22,2017-1-25-00
23,2017-2-1-00
24,2017-2-8-00
25,2017-2-15-00
26,2017-2-22-00
27,2017-3-1-00
28,2017-3-8-00
29,2017-3-15-00
30,2017-3-22-00
31,2017-3-29-00
32,2017-4-5-00
33,2017-4-12-00
34,2017-4-19-00
35,2017-4-26-00
36,2017-5-3-00
37,2017-5-10-00
38,2017-5-17-00
39,2017-5-24-00
40,2017-5-31-00
41,2017-6-7-00
42,2017-6-14-00
43,2017-6-21-00
44,2017-6-28-00
