ID,佣兵ID,宝具等级,消耗资源,消耗个数,战力提升,先攻提升,防御提升,闪避提升,王者提升
number,number,number,string,string,number,number,number,number,number
ID,template_id,artifact_level,cost_id,cost_num,bp,speed,defense,dodge,authority
1,19000001,1,57,3,5,,,,
2,19000001,2,57,4,5,,,,
3,19000001,3,57,6,5,,,,
4,19000001,4,57,9,5,,,,
5,19000001,5,57,13,,0,0,1,1
6,19000001,6,57,18,5,,,,
7,19000001,7,57,24,5,,,,
8,19000001,8,57,31,5,,,,
9,19000001,9,57,39,5,,,,
10,19000001,10,57,47,,0,1,2,0
11,19000002,1,57,3,5,,,,
12,19000002,2,57,4,5,,,,
13,19000002,3,57,6,5,,,,
14,19000002,4,57,9,5,,,,
15,19000002,5,57,13,,0,1,0,1
16,19000002,6,57,18,5,,,,
17,19000002,7,57,24,5,,,,
18,19000002,8,57,31,5,,,,
19,19000002,9,57,39,5,,,,
20,19000002,10,57,47,,1,2,0,0
21,19000003,1,57,3,5,,,,
22,19000003,2,57,4,5,,,,
23,19000003,3,57,6,5,,,,
24,19000003,4,57,9,5,,,,
25,19000003,5,57,13,,1,1,0,0
26,19000003,6,57,18,5,,,,
27,19000003,7,57,24,5,,,,
28,19000003,8,57,31,5,,,,
29,19000003,9,57,39,5,,,,
30,19000003,10,57,47,,1,1,1,0
31,19000004,1,57,3,5,,,,
32,19000004,2,57,4,5,,,,
33,19000004,3,57,6,5,,,,
34,19000004,4,57,9,5,,,,
35,19000004,5,57,13,,0,0,1,1
36,19000004,6,57,18,5,,,,
37,19000004,7,57,24,5,,,,
38,19000004,8,57,31,5,,,,
39,19000004,9,57,39,5,,,,
40,19000004,10,57,47,,0,1,2,0
41,19000005,1,57,3,5,,,,
42,19000005,2,57,4,5,,,,
43,19000005,3,57,6,5,,,,
44,19000005,4,57,9,5,,,,
45,19000005,5,57,13,,0,0,1,1
46,19000005,6,57,18,5,,,,
47,19000005,7,57,24,5,,,,
48,19000005,8,57,31,5,,,,
49,19000005,9,57,39,5,,,,
50,19000005,10,57,47,,0,1,2,0
51,19000006,1,57,3,5,,,,
52,19000006,2,57,4,5,,,,
53,19000006,3,57,6,5,,,,
54,19000006,4,57,9,5,,,,
55,19000006,5,57,13,,1,1,0,0
56,19000006,6,57,18,5,,,,
57,19000006,7,57,24,5,,,,
58,19000006,8,57,31,5,,,,
59,19000006,9,57,39,5,,,,
60,19000006,10,57,47,,1,1,1,0
61,19000007,1,57,3,5,,,,
62,19000007,2,57,4,5,,,,
63,19000007,3,57,6,5,,,,
64,19000007,4,57,9,5,,,,
65,19000007,5,57,13,,1,1,0,0
66,19000007,6,57,18,5,,,,
67,19000007,7,57,24,5,,,,
68,19000007,8,57,31,5,,,,
69,19000007,9,57,39,5,,,,
70,19000007,10,57,47,,1,1,1,0
71,19000008,1,57,3,5,,,,
72,19000008,2,57,4,5,,,,
73,19000008,3,57,6,5,,,,
74,19000008,4,57,9,5,,,,
75,19000008,5,57,13,,0,0,1,1
76,19000008,6,57,18,5,,,,
77,19000008,7,57,24,5,,,,
78,19000008,8,57,31,5,,,,
79,19000008,9,57,39,5,,,,
80,19000008,10,57,47,,0,1,2,0
81,19000009,1,57,3,5,,,,
82,19000009,2,57,4,5,,,,
83,19000009,3,57,6,5,,,,
84,19000009,4,57,9,5,,,,
85,19000009,5,57,13,,0,1,0,1
86,19000009,6,57,18,5,,,,
87,19000009,7,57,24,5,,,,
88,19000009,8,57,31,5,,,,
89,19000009,9,57,39,5,,,,
90,19000009,10,57,47,,1,2,0,0
91,19000010,1,57,3,5,,,,
92,19000010,2,57,4,5,,,,
93,19000010,3,57,6,5,,,,
94,19000010,4,57,9,5,,,,
95,19000010,5,57,13,,0,0,1,1
96,19000010,6,57,18,5,,,,
97,19000010,7,57,24,5,,,,
98,19000010,8,57,31,5,,,,
99,19000010,9,57,39,5,,,,
100,19000010,10,57,47,,0,1,2,0
101,19000011,1,57,3,5,,,,
102,19000011,2,57,4,5,,,,
103,19000011,3,57,6,5,,,,
104,19000011,4,57,9,5,,,,
105,19000011,5,57,13,,1,1,0,0
106,19000011,6,57,18,5,,,,
107,19000011,7,57,24,5,,,,
108,19000011,8,57,31,5,,,,
109,19000011,9,57,39,5,,,,
110,19000011,10,57,47,,1,1,1,0
111,19000012,1,57,3,5,,,,
112,19000012,2,57,4,5,,,,
113,19000012,3,57,6,5,,,,
114,19000012,4,57,9,5,,,,
115,19000012,5,57,13,,0,0,1,1
116,19000012,6,57,18,5,,,,
117,19000012,7,57,24,5,,,,
118,19000012,8,57,31,5,,,,
119,19000012,9,57,39,5,,,,
120,19000012,10,57,47,,0,1,2,0
121,19000013,1,57,3,5,,,,
122,19000013,2,57,4,5,,,,
123,19000013,3,57,6,5,,,,
124,19000013,4,57,9,5,,,,
125,19000013,5,57,13,,1,0,0,1
126,19000013,6,57,18,5,,,,
127,19000013,7,57,24,5,,,,
128,19000013,8,57,31,5,,,,
129,19000013,9,57,39,5,,,,
