ID,怪物组名,怪物构成,战斗力,英雄技能,先攻等级,防御等级,闪避等级,王者等级,备注
number,string,string,number,string,number,number,number,number,string
ID,name,monster_sprites,battle_point,skill,speed,defense,dodge,authority,remarks
1000001,松平片米虎,16000013|17000024,25,,0,0,0,0,
1000002,抖m小猿,16000012|16000012|16000012|16000012,50,,0,0,0,0,
1000003,坂本龙马,18000021|11000021|11000021,150,,0,0,0,0,
1000004,桂小五郎,18000019|13000001|11000018|11000019,200,,0,0,0,0,
1000005,高杉晋作,19000020|13000001|13000001|13000001|13000002|13000002|13000002,300,,0,0,0,0,
1000006,土方岁三,17000014|16000013|10000005|10000005|10000002|10000002,600,,0,0,0,0,
1000007,夜兔族少女,18000012|11000021|11000021|11000021|11000021,700,,0,0,0,0,
1000008,新吧唧,16000010|11000011|11000011|11000011|11000011|11000011,800,,0,0,0,0,
1000009,阿妙姐,16000011|11000016|11000017|11000018|11000019,900,,0,0,0,0,
1000010,坂田金时,19000007|18000012|16000010|17000014|18000019|19000020|16000011|18000021|16000013|16000012|17000024,1000,,0,0,0,0,
1000011,大乔,17000025|17000026|17000027,1200,,0,0,0,0,
1000012,吕奉先,18000011|18000022,1400,,0,0,0,0,
1000013,曹操,19000041|18000032|18000034|11000002|11000001|11000003,1600,,0,0,0,0,
1000014,关云长,18000009|18000010|18000026|18000027|18000023,2000,,0,0,0,0,
1000015,蜀王刘备,19000032|18000010|18000026|18000027|18000023|18000009|19000041|18000032|17000013|18000011|18000022|17000027|17000026|17000025|22000001|18000034|19000022|19000026,2400,,0,0,0,0,
1000016,抖m小猿,16000012|16000012|16000012|16000012,2600,,0,0,0,0,
1000017,服部半藏,17000006|17000006|17000006|17000006|17000006,2800,,0,0,0,0,
1000018,朱雀,19000060|19000060|19000060|19000060|19000060,3200,,0,0,0,0,
1000019,二助子,19000054|19000054|19000054|19000054|19000054,3600,,0,0,0,0,
1000020,吊车尾少年,18000042|18000042|18000042|18000042|18000042|18000042|18000042|18000042|18000042|18000042,4000,,0,0,0,0,
1000021,zero,19000037|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,7000,,0,0,0,0,
1000022,披萨魔女,19000033|19000037|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,7400,,0,0,0,0,
1000023,魔化信长,19000023|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005|11000002|11000001|11000003,9300,1500008,0,0,0,0,
1000024,魔神撒旦,19000016|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,10000,1400008,0,0,0,0,
1000025,zero,19000037|19000033|19000023|19000016|14000001|14000002|14000003|14000004|14000005|14000006|16000004|16000005,11000,,0,0,0,0,
1000026,珊噗,17000022|17000022,11200,,0,0,0,0,
1000027,小茜,17000019|17000022,11900,1200045|1100016|1100016|1100016,0,0,0,0,
1000028,牙拳小p,18000016|17000020,14500,1200043|1500006|1500006,0,0,0,0,
1000029,早乙女.女,17000018|18000015,16000,1300010,0,0,0,0,
1000030,早乙女.男,18000015|17000018|17000019,17000,1200042|1300010,0,0,0,0,
1000031,佐佐木小次郎,17000002,20000,,0,0,13,0,
1000032,宫本武藏,18000001|17000002,21000,,0,0,13,0,
1000033,柳生十兵卫,18000014|18000001|17000002,23000,1300009|1300009,0,0,0,0,
1000034,服部半藏,17000006|17000006|17000006|17000006|17000006|17000006|17000006|17000006,25000,1200023|1200023|1200023,0,0,0,0,
1000035,宁宁,18000043|17000006|18000014|18000001|17000002,30000,1900018|1900018|1900018|1900018|1900018,0,0,0,0,
1000036,佐佐木小次郎,17000002,20000,,0,0,10,0,闪避
1000037,宫本武藏,18000001|17000002,21000,,0,0,20,0,闪避
1000038,柳生十兵卫,18000014|18000001|17000002,23000,1300009|1300009,0,0,30,0,闪避
1000039,服部半藏,17000006|17000006|17000006|17000006|17000006|17000006|17000006|17000006,25000,1200023|1200023|1200023,0,0,40,0,闪避
1000040,宁宁,18000043|17000006|18000014|18000001|17000002,30000,1900018|1900018|1900018|1900018|1900018,0,0,50,0,闪避
1000041,竹中半兵卫,18000044|18000045|10000002|10000005|11000001|11000002|11000003,35000,2100007|2200028,0,0,0,0,
1000042,武田信玄,19000025|10000002|10000005|11000001|11000002|11000003,36000,1700010|1700010,0,0,0,0,
1000043,织田信长,19000009|10000002|10000005|11000001|11000002|11000003,38000,,0,0,0,30,
1000044,丰臣秀吉,19000056|18000043|10000002|10000005|11000001|11000002|11000003,40000,2200043|2200043|2200043|2200043|2200043|2200043|2200043|2200043,0,0,0,0,
1000045,德川家康,19000055|19000056|18000043|19000009|18000044|18000045|18000043|17000006|18000014|18000001|17000002,45000,2200027|2200027|2200027|2200027|2200027|2200027|2200027|2200027|2200027|2200027,0,0,0,0,
1000046,竹中半兵卫,18000044|18000045|10000002|10000005|11000001|11000002|11000003,35000,2100007|2200028,0,10,0,0,防御
1000047,武田信玄,19000025|10000002|10000005|11000001|11000002|11000003,36000,1700010|1700010,0,20,0,0,防御
1000048,织田信长,19000009|10000002|10000005|11000001|11000002|11000003,38000,,0,30,0,30,防御
1000049,丰臣秀吉,19000056|18000043|10000002|10000005|11000001|11000002|11000003,40000,2200043|2200043|2200043|2200043|2200043|2200043|2200043|2200043,0,40,0,0,防御
1000050,德川家康,19000055|19000056|18000043|19000009|18000044|18000045|18000043|17000006|18000014|18000001|17000002,45000,2200027|2200027|2200027|2200027|2200027|2200027|2200027|2200027|2200027|2200027,0,50,0,0,防御
1000051,佐佐木小次郎,17000002|13000007|13000007|13000007|13000007|13000007,51000,,0,0,7,0,
1000052,美狄亚,17000001|13000007|13000007|13000007|13000007|13000007,52000,,0,0,7,0,
1000053,海格利斯,17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004,53000,1100006|1100006|1100006|1100006|1100006,0,0,0,0,
1000054,美杜莎,18000003|18000003|18000003|18000003|18000003,55000,2200005|2200005|2200005|2200005|2200005,0,0,0,0,
1000055,骑士王,19000043|18000003|17000004|17000001|17000002,60000,2200024|2200024|2200024|2200024|2200024,0,0,0,0,
1000056,佐佐木小次郎,17000002|13000007|13000007|13000007|13000007|13000007,40000,,5,0,7,0,先攻
1000057,美狄亚,17000001|13000007|13000007|13000007|13000007|13000007,45000,,10,0,7,0,先攻
1000058,海格利斯,17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004|17000004,50000,1100006|1100006|1100006|1100006|1100006,15,0,0,0,先攻
1000059,美杜莎,18000003|18000003|18000003|18000003|18000003,55000,2200005|2200005|2200005|2200005|2200005,20,0,0,0,先攻
1000060,骑士王,19000043|18000003|17000004|17000001|17000002,60000,2200024|2200024|2200024|2200024|2200024,25,0,0,0,先攻
1000061,哈桑萨巴赫,18000002|18000002|18000002|18000002|18000002|18000002,70000,1200026|1200026|1200026|1200026|1200026,0,0,0,0,
1000062,迪卢木多,17000011|15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,71000,2200004|2200004|2200004|2200004|2200004,0,0,0,0,
1000063,吉尔加美蛇,19000002,73000,2200006|2200006|2200006|2200006|2200006,0,0,0,0,
1000064,卫宫土郎,18000037|19000043,75000,1200064|1200064|1200064|1200064,0,0,0,0,
1000065,SaberLily,19000042|18000037|19000043,80000,1100039|1100039|1100039|1100039|1100039,0,0,0,0,
1000066,哈桑萨巴赫,18000002|18000002|18000002|18000002|18000002|18000002,70000,4000001,0,0,0,0,怪物的每回合回复自己初始总血量的10%
1000067,迪卢木多,17000011|15000001|15000002|15000003|15000004|15000005|15000006|15000007|15000008|15000009|15000010|15000011,71000,4000001,0,0,0,0,怪物的每回合回复自己初始总血量的10%
1000068,吉尔加美蛇,19000002,73000,4000001,0,0,0,0,怪物的每回合回复自己初始总血量的10%
1000069,卫宫土郎,18000037|19000043,75000,4000001,0,0,0,0,怪物的每回合回复自己初始总血量的10%
1000070,SaberLily,19000042|18000037|19000043,80000,4000001,0,0,0,0,怪物的每回合回复自己初始总血量的10%
1000071,亚瑟·戴恩,19000027|17000010|17000010|17000010|17000010,90000,1100054|1100054|1100054|1100054|1100054|1100054|1100054|1100054|1100054|1100054,60,0,0,0,
1000072,卓戈卡奥,19000028,91000,,0,0,0,50,
1000073,丹妮莉丝,18000020|11000006|11000006|11000006|11000006,93000,2200010|2200010|2200010|2200010,0,0,0,0,
1000074,比尔博巴金丝,18000028|19000030,95000,1100029|1100029|1100029|1100029|1100029|1100029|1100029|1100029|1100029|1100029,0,0,0,0,
1000075,纳兹古王,19000031|19000030|19000030|19000030|19000030|19000030|19000030|19000030|19000030|19000030,100000,2200017|2200017|2200017|2200017|2200017,0,0,0,0,
1000076,亚瑟·戴恩,19000027|17000010|17000010|17000010|17000010,90000,4000002,0,0,0,0,100%暴击
1000077,卓戈卡奥,19000028,91000,4000002,0,0,0,0,100%暴击
1000078,丹妮莉丝,18000020|11000006|11000006|11000006|11000006,93000,4000002,0,0,0,0,100%暴击
1000079,比尔博巴金丝,18000028|19000030,95000,4000002,0,0,0,0,100%暴击
1000080,纳兹古王,19000031|19000030|19000030|19000030|19000030|19000030|19000030|19000030|19000030|19000030,100000,4000002,0,0,0,0,100%暴击
1000081,不起眼的青年,11000025|11000025|11000025|11000025|11000025,120000,1600001,0,0,0,0,
1000082,京阶,16000009|11000036|11000036|11000036,125000,1700005|1700005|1700005|1700005|1700005,0,0,0,0,
1000083,蕾见不二籽,17000023|16000009,130000,2100009|2100009|2100009|2100009|2100009,0,0,0,0,
1000084,觉醒的薰,19000005|11000036|11000036|11000036,140000,1800005|1800005,0,0,0,0,
1000085,电磁炮少女,19000059,150000,1100044|1100044|1100044|1100044|1100044,0,0,0,0,
1000086,不起眼的青年,11000025|11000025|11000025|11000025|11000025,120000,4000003,0,0,0,0,100%无视防御的伤害
1000087,京阶,16000009|11000036|11000036|11000036,125000,4000003,0,0,0,0,100%无视防御的伤害
1000088,蕾见不二籽,17000023|16000009,130000,4000003,0,0,0,0,100%无视防御的伤害
1000089,觉醒的薰,19000005|11000036|11000036|11000036,140000,4000003,0,0,0,0,100%无视防御的伤害
1000090,电磁炮少女,19000059,150000,4000003,0,0,0,0,100%无视防御的伤害
1000091,京阶,16000009,160000,1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005,,,,,
1000092,蕾见不二籽,17000023,165000,2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009,,,,,
1000093,众神之王宙斯,19000011,170000,1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007,,,,,
1000094,披萨魔女,19000033,180000,1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011,,,,,
1000095,甩葱少女,19000039,190000,2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021,,,,,
1000096,京阶,16000009,160000,1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005,,,60,,闪避
1000097,蕾见不二籽,17000023,165000,2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009,,,70,,闪避
1000098,众神之王宙斯,19000011,170000,1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007,,,80,,闪避
1000099,披萨魔女,19000033,180000,1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011,,,90,,闪避
1000100,甩葱少女,19000039,190000,2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021,,,100,,闪避
1000101,京阶,16000009,160000,1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005|1700005,,,130,,闪避
1000102,蕾见不二籽,17000023,165000,2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009|2100009,,,160,,闪避
1000103,众神之王宙斯,19000011,170000,1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007|1500007,,,190,,闪避
1000104,披萨魔女,19000033,180000,1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011|1900011,,,220,,闪避
1000105,甩葱少女,19000039,190000,2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021|2200021,,,250,,闪避
1000106,爵士凯,17000010|11000001|11000001|11000003|11000003,200000,1800001|1800001|1800001|1800001,0,0,0,0,
1000107,特里斯坦,18000007|11000001|11000001|11000003|11000003,210000,,0,0,0,0,
1000108,高文,18000005|11000001|11000001|11000003|11000003,220000,,0,33,0,0,
1000109,兰斯洛特,18000006|11000001|11000001|11000003|11000003,230000,2100003|2100003|2100003|2100003|2100003,0,0,0,0,
1000110,真·亚瑟,19000008|18000006|18000005|18000007|17000010,245000,2100010|2100010|2100010,0,0,60,0,
1000111,爵士凯,17000010|11000001|11000001|11000003|11000003,200000,1800001|1800001|1800001|1800001,,60,0,0,防御
1000112,特里斯坦,18000007|11000001|11000001|11000003|11000003,210000,,,70,0,0,防御
1000113,高文,18000005|11000001|11000001|11000003|11000003,220000,,,80,0,0,防御
1000114,兰斯洛特,18000006|11000001|11000001|11000003|11000003,230000,2100003|2100003|2100003|2100003|2100003,,90,0,0,防御
1000115,真·亚瑟,19000008|18000006|18000005|18000007|17000010,245000,2100010|2100010|2100010,,100,0,0,防御
1000116,爵士凯,17000010|11000001|11000001|11000003|11000003,200000,1800001|1800001|1800001|1800001,,130,0,0,防御
1000117,特里斯坦,18000007|11000001|11000001|11000003|11000003,210000,,,160,0,0,防御
1000118,高文,18000005|11000001|11000001|11000003|11000003,220000,,,190,0,0,防御
1000119,兰斯洛特,18000006|11000001|11000001|11000003|11000003,230000,2100003|2100003|2100003|2100003|2100003,,220,0,0,防御
1000120,真·亚瑟,19000008|18000006|18000005|18000007|17000010,245000,2100010|2100010|2100010,,250,0,0,防御
1000121,剧毒邪魔,20000008,250000,,0,10,0,0,
1000122,爱伦,18000039,255000,1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012,0,0,20,0,
1000123,三爷,19000045,260000,,0,65,15,0,
1000124,死鱼眼兵长,19000046,270000,,0,0,30,0,
1000125,超大巨人,55000001,285000,1400006|1400006,0,30,30,0,
1000126,剧毒邪魔,20000008|20000008|20000008|20000008|20000008|20000008|20000008|20000008|20000008|20000008,250000,,60,10,0,0,先攻
1000127,爱伦,18000039,255000,1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012,70,0,20,0,先攻
1000128,三爷,19000045,260000,,80,65,15,0,先攻
1000129,死鱼眼兵长,19000046,270000,,90,0,30,0,先攻
1000130,超大巨人,55000001,285000,1400006|1400006,100,30,30,0,先攻
1000131,剧毒邪魔,20000008|20000008|20000008|20000008|20000008|20000008|20000008|20000008|20000008|20000008,250000,,130,10,0,0,先攻
1000132,爱伦,18000039,255000,1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012|1900012,160,0,20,0,先攻
1000133,三爷,19000045,260000,,190,65,15,0,先攻
1000134,死鱼眼兵长,19000046,270000,,220,0,30,0,先攻
1000135,超大巨人,55000001,285000,1400006|1400006,250,30,30,0,先攻
1000136,迟钝奶牛,12000005|12000005,300000,1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002|1900002,,,,,
1000137,群居老鼠,12000008|12000008|12000008|12000008,305000,,,,40,,
1000138,草泥马,19000040|19000040|19000040,310000,,130,,,,
1000139,猴子,19000048,320000,2200025|2200025|2200025|2200025|2200025|2200025|2200025|2200025|2200025|2200025,,,,,
1000140,毒液绿龙,20000006,335000,,,,,,
1000141,迟钝奶牛,12000005|12000005,300000,4000004,,,,,怪物的每回合回复自己初始总血量的12%
1000142,群居老鼠,12000008|12000008|12000008|12000008,305000,4000005,,,,,怪物的每回合回复自己初始总血量的14%
1000143,草泥马,19000040|19000040|19000040,310000,4000006,,,,,怪物的每回合回复自己初始总血量的16%
1000144,猴子,19000048,320000,4000007,,,,,怪物的每回合回复自己初始总血量的18%
1000145,毒液绿龙,20000006,335000,4000008,,,,,怪物的每回合回复自己初始总血量的20%
1000146,迟钝奶牛,12000005|12000005,300000,4000009,,,,,怪物的每回合回复自己初始总血量的22%
1000147,群居老鼠,12000008|12000008|12000008|12000008,305000,4000010,,,,,怪物的每回合回复自己初始总血量的24%
1000148,草泥马,19000040|19000040|19000040,310000,4000011,,,,,怪物的每回合回复自己初始总血量的26%
1000149,猴子,19000048,320000,4000012,,,,,怪物的每回合回复自己初始总血量的28%
1000150,毒液绿龙,20000006,335000,4000013,,,,,怪物的每回合回复自己初始总血量的30%
1000151,扫地僧,19000035,350000,2200019|2200019|2200019|2200019,0,0,0,0,
1000152,夫子,19000052,360000,2200026|2200026|2200026|2200026|2200026|2200026|2200026|2200026|2200026|2200026,0,0,0,30,
1000153,老子,19000053,370000,2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041|2200041,0,0,0,30,
1000154,逗13,19000049|19000048,380000,1200065|1200065|1200065|1200065,0,0,0,0,
1000155,猴子,19000048|19000049,400000,2200025|2200025|2200025|2200025|2200025,0,0,0,0,
1000156,扫地僧,19000035,350000,4000014,,,,,112%无视闪避的伤害
1000157,夫子,19000052,360000,4000015,,,,,114%无视闪避的伤害
1000158,老子,19000053,370000,4000016,,,,,116%无视闪避的伤害
1000159,逗13,19000049|19000048,380000,4000017,,,,,118%无视闪避的伤害
1000160,猴子,19000048|19000049,400000,4000018,,,,,120%无视闪避的伤害
1000161,扫地僧,19000035,350000,4000019,,,,,122%无视闪避的伤害
1000162,夫子,19000052,360000,4000020,,,,,124%无视闪避的伤害
1000163,老子,19000053,370000,4000021,,,,,126%无视闪避的伤害
1000164,逗13,19000049|19000048,380000,4000022,,,,,128%无视闪避的伤害
1000165,猴子,19000048|19000049,400000,4000023,,,,,130%无视闪避的伤害
1000166,历来米亚,17000007,405000,1200024|1200024|1200024|1200024|1200024|1200024|1200024|1200024|1200024|1200024,,,,,
1000167,爵士凯,17000010,410000,1800001|1800001|1800001|1800001|1800001|1800001|1800001,,,,,
1000168,达罗斯米亚,17000008|17000009,420000,1400004|1400004|1400004,,,,,
1000169,艾锐尔米亚,17000009,430000,2000003|2000003|2000003|2000003|2000003,,,,,
1000170,破甲者比亚,17000017,450000,1100012|1100012|1100012|1100012|1100012|1100012|1100012|1100012|1100012|1100012,,,,,
1000171,历来米亚,17000007,405000,4000024,,,,,112%无视防御的伤害
1000172,爵士凯,17000010,410000,4000025,,,,,114%无视防御的伤害
1000173,达罗斯米亚,17000008|17000009,420000,4000026,,,,,116%无视防御的伤害
1000174,艾锐尔米亚,17000009,430000,4000027,,,,,118%无视防御的伤害
1000175,破甲者比亚,17000017,450000,4000028,,,,,120%无视防御的伤害
1000176,历来米亚,17000007,405000,4000029,,,,,122%无视防御的伤害
1000177,爵士凯,17000010,410000,4000030,,,,,124%无视防御的伤害
1000178,达罗斯米亚,17000008|17000009,420000,4000031,,,,,126%无视防御的伤害
1000179,艾锐尔米亚,17000009,430000,4000032,,,,,128%无视防御的伤害
1000180,破甲者比亚,17000017,450000,4000033,,,,,130%无视防御的伤害
1000181,三师弟,18000040|18000040|18000040|18000040,460000,,0,0,0,0,
1000182,唐三,19000047|19000047|19000047|19000047,470000,1200065|1200065|1200065|1200065,0,0,0,0,
1000183,至尊宝,18000041|13000001|13000001|13000002|13000002|13000005|13000005,480000,1100042|1100042|1100042|1100042,0,0,0,0,
1000184,紫霞仙子,19000051|18000041,500000,1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042|1100042,0,0,0,0,
1000185,猴子,19000048|19000048|19000048|19000048|19000048|19000048|19000048|19000048,525000,2200025|2200025|2200025|2200025|2200025,0,0,0,0,
1000186,三师弟,18000040|18000040|18000040|18000040,460000,4000034,0,0,260,0,回复造成伤害35%的伤害
1000187,唐三,19000047|19000047|19000047|19000047,470000,4000034,0,0,270,0,回复造成伤害35%的伤害
1000188,至尊宝,18000041|13000001|13000001|13000002|13000002|13000005|13000005,480000,4000034,0,0,280,0,回复造成伤害35%的伤害
1000189,紫霞仙子,19000051|18000041,500000,4000034,0,0,290,0,回复造成伤害35%的伤害
1000190,猴子,19000048|19000048|19000048|19000048|19000048|19000048|19000048|19000048,525000,4000034,0,0,300,0,回复造成伤害35%的伤害
1000191,三师弟,18000040|18000040|18000040|18000040,460000,4000034,,,340,,回复造成伤害35%的伤害
1000192,唐三,19000047|19000047|19000047|19000047,470000,4000034,,,380,,回复造成伤害35%的伤害
1000193,至尊宝,18000041|13000001|13000001|13000002|13000002|13000005|13000005,480000,4000034,,,420,,回复造成伤害35%的伤害
1000194,紫霞仙子,19000051|18000041,500000,4000034,,,480,,回复造成伤害35%的伤害
1000195,猴子,19000048|19000048|19000048|19000048|19000048|19000048|19000048|19000048,525000,4000034,,,500,,回复造成伤害35%的伤害
1000196,扫地僧人,19000035|19000035|19000035|19000035,535000,2200019|2200019|2200019|2200019|2200019|2200019|2200019|2200019|2200019|2200019,,,,,
1000197,黄忠,18000027,540000,1100018|1100018|1100018|1100018|1100018|1100018|1100018|1100018|1100018|1100018,,,,,
1000198,关云长,18000009,550000,,80,40,,-30,
1000199,神张飞,19000026,560000,1200054|1200054|1200054|1200054|1200054|1200054|1200054|1200054|1200054|1200054,,,,,
1000200,神关羽,19000022|19000026,580000,1200051|1200051|1200051|1200051|1200051|1200054|1200054|1200054|1200054|1200054,,,,,
1000201,扫地僧人,19000035|19000035|19000035|19000035,535000,4000035,,10,,,怪物每回合回复自己初始总血量10%的血
1000202,黄忠,18000027,540000,4000035,,20,,,怪物每回合回复自己初始总血量10%的血
1000203,关云长,18000009,550000,4000035,,30,,,怪物每回合回复自己初始总血量10%的血
1000204,神张飞,19000026,560000,4000035,,40,,,怪物每回合回复自己初始总血量10%的血
1000205,神关羽,19000022|19000026,580000,4000035,,50,,,怪物每回合回复自己初始总血量10%的血
1000206,扫地僧人,19000035|19000035|19000035|19000035,535000,4000035,,80,,,怪物每回合回复自己初始总血量10%的血
1000207,黄忠,18000027,540000,4000035,,110,,,怪物每回合回复自己初始总血量10%的血
1000208,关云长,18000009,550000,4000035,,140,,,怪物每回合回复自己初始总血量10%的血
1000209,神张飞,19000026,560000,4000035,,170,,,怪物每回合回复自己初始总血量10%的血
1000210,神关羽,19000022|19000026,580000,4000035,,200,,,怪物每回合回复自己初始总血量10%的血
1000211,奶茶妹,18000036|11000011|11000011|11000011|11000011,600000,1700015|1700015|1700015,0,0,0,0,
1000212,金三胖,18000033,610000,,0,0,0,0,
1000213,奥巴马,18000031|11000022|11000022|11000024|11000024,620000,1200062|1200062|1200062,0,0,0,0,
1000214,普京,19000034|11000026|11000026|11000026|11000026,640000,1100027,0,0,0,0,
1000215,元首,55000002,650000,1200030|1200030|1200030|1200030,0,0,0,0,
1000216,奶茶妹,18000036|11000011|11000011|11000011|11000011,600000,4000036,80,,,,70%的暴击伤害
1000217,金三胖,18000033,610000,4000036,85,,,,70%的暴击伤害
1000218,奥巴马,18000031|11000022|11000022|11000024|11000024,620000,4000036,90,,,,70%的暴击伤害
1000219,普京,19000034|11000026|11000026|11000026|11000026,640000,4000036,95,,,,70%的暴击伤害
1000220,元首,55000002,650000,4000036,100,,,,70%的暴击伤害
1000221,奶茶妹,18000036|11000011|11000011|11000011|11000011,600000,4000036,110,,,,70%的暴击伤害
1000222,金三胖,18000033,610000,4000036,120,,,,70%的暴击伤害
1000223,奥巴马,18000031|11000022|11000022|11000024|11000024,620000,4000036,130,,,,70%的暴击伤害
1000224,普京,19000034|11000026|11000026|11000026|11000026,640000,4000036,140,,,,70%的暴击伤害
1000225,元首,55000002,650000,4000036,150,,,,70%的暴击伤害
1000226,亚丝娜,19000036|10000005|10000005|10000005|10000005|10000005|10000005,700000,1100032|1100032|1100032|1100032|1100032,0,0,0,0,
1000227,梦魇狂三,19000038|15000001|15000001|15000002|15000002|15000003|15000003,710000,2100006|2100006|2100006|2100006|2100006,0,0,0,0,
1000228,末日主宰,19000058|11000014|11000014|11000020|11000020,725000,1200067|1200067|1200067|1200067|1200067,0,0,0,0,
1000229,黑衣少女,19000057,750000,2200029|2200029|2200029|2200029|2200029|2200029|2200029|2200029|2200029|2200029,0,0,0,0,
1000230,甩葱少女,19000039,780000,2200021|2200021|2200021|2200021|2200021,0,0,0,0,
1000231,亚丝娜,19000036|10000005|10000005|10000005|10000005|10000005|10000005,700000,4000037,,5,,,怪物的每回合回复自己初始总血量的25%
1000232,梦魇狂三,19000038|15000001|15000001|15000002|15000002|15000003|15000003,710000,4000037,,10,,,怪物的每回合回复自己初始总血量的25%
1000233,末日主宰,19000058|11000014|11000014|11000020|11000020,725000,4000037,,15,,,怪物的每回合回复自己初始总血量的25%
1000234,黑衣少女,19000057,750000,4000037,,20,,,怪物的每回合回复自己初始总血量的25%
1000235,甩葱少女,19000039,780000,4000037,,25,,,怪物的每回合回复自己初始总血量的25%
1000236,亚丝娜,19000036|10000005|10000005|10000005|10000005|10000005|10000005,700000,4000037,,40,50,,怪物的每回合回复自己初始总血量的25%
1000237,梦魇狂三,19000038|15000001|15000001|15000002|15000002|15000003|15000003,710000,4000037,,55,50,,怪物的每回合回复自己初始总血量的25%
1000238,末日主宰,19000058|11000014|11000014|11000020|11000020,725000,4000037,,70,50,,怪物的每回合回复自己初始总血量的25%
1000239,黑衣少女,19000057,750000,4000037,,85,50,,怪物的每回合回复自己初始总血量的25%
1000240,甩葱少女,19000039,780000,4000037,,100,50,,怪物的每回合回复自己初始总血量的25%
1000241,喜鹊,18000059,780000,1700020|1700020|1700020|1700020|1700020|1700020|1700020|1700020|1700020|1700020,,,100,,
1000242,牛郎,19000085,800000,1100057|1100057|1100057|1100057|1100057|1100057|1100057|1100057|1100057|1100057,,,,,
1000243,织女,19000086,820000,1800018|1800018|1800018,,,,,
1000244,光滑的弟,19000067|19000067|19000067|19000067,850000,,,,,50,
1000245,庞麦郎,19000068,880000,,,,,50,
1000246,喜鹊,18000059,780000,4000038,,,10,,150%的无视闪避伤害
1000247,牛郎,19000085,800000,4000038,,,20,,150%的无视闪避伤害
1000248,织女,19000086,820000,4000038,,,30,,150%的无视闪避伤害
1000249,光滑的弟,19000067|19000067|19000067|19000067,850000,4000038,,,40,,150%的无视闪避伤害
1000250,庞麦郎,19000068,880000,4000038,,,50,,150%的无视闪避伤害
1000251,喜鹊,18000059,780000,4000038,,50,80,,150%的无视闪避伤害
1000252,牛郎,19000085,800000,4000038,,50,110,,150%的无视闪避伤害
1000253,织女,19000086,820000,4000038,,50,140,,150%的无视闪避伤害
1000254,光滑的弟,19000067|19000067|19000067|19000067,850000,4000038,,50,170,,150%的无视闪避伤害
1000255,庞麦郎,19000068,880000,4000038,,50,200,,150%的无视闪避伤害
