ID,技能名,描述,技能效果,参数L1,参数L2,参数L3,职业,性别,种族,堆叠限制,增加四维先攻,增加四维防御,增加四维闪避,增加四维王者
number,string,string,number,number,number,number,number,number,number,number,number,number,number,number
ID,name,desc,effect_type,param1,param2,param3,job,sex,race,stack_limit,speed,defense,dodge,authority
300001,守护之力,防御等级提高5,2,5,,,,,,,0,0,0,0
300002,坚固,防御等级提高6,2,6,,,,,,,0,0,0,0
300003,完美服务,一切都井井有条，你啥也不用管了。防御等级提高7,2,7,,,,,,,0,0,0,0
300004,沉默,沉默是一种力量，防御等级提高5,2,5,,,,,,,0,0,0,0
300005,大盾,防御等级提高8,2,8,,,,,,,0,0,0,0
300006,元素坚固,防御等级提高5,2,5,,,,,,,0,0,0,0
300007,光之守护,防御等级提高7,2,7,,,,,,,0,0,0,0
300008,魔化觉醒,防御等级提高7,2,7,,,,,,,0,0,0,0
300009,风王之铠,防御等级提高16,2,16,,,,,,,0,0,0,0
300010,无畏防御,防御等级提高11,2,11,,,,,,,0,0,0,0
300011,王之领域,防御等级提高13,2,13,,,,,,,0,0,0,0
300012,无坚不摧,防御等级提高9,2,9,,,,,,,0,0,0,0
300013,冰封防御,防御等级提高9,2,9,,,,,,,0,0,0,0
300014,坚钢护甲,防御等级提高11,2,11,,,,,,,0,0,0,0
300015,狮盔剑神,防御等级提高10,2,10,,,,,,,0,0,0,0
300016,五虎上将,防御等级提高12,2,12,,,,,,,0,0,0,0
300017,请叫我女王,防御等级提高4，闪避等级提高4,2,4,,,,,,,0,0,0,0
300018,遗志,防御等级提高10,2,10,,,,,,,0,0,0,0
300019,止战之殇,,2,-15,,,,,,,0,0,0,0
300020,一路向西,,2,-16,,,,,,,0,0,0,0
300021,降妖伏魔铲,防御等级提高10,2,10,,,,,,,0,0,0,0
300022,常高院,防御等级提高3,2,3,,,,,,,0,0,0,0
300023,领袖庇护,场上每有一个鸡星人防御等级提高2，至多提高22。,2,2,,,,,14,22,0,0,0,0
300024,魔女猎杀II,场上每有一个女性学生，先攻等级提高2，防御等级降低1,2,-1,,,101,3,,999,0,0,0,0
300025,斯巴达盾列,场上每有一个斯巴达，防御等级提高3，至多提高25,2,3,,,129,,,25,0,0,0,0
300026,左右互博III,,2,-15,,,,,,,0,0,0,0
300027,薄弱,防御等级降低3,2,-3,,,,,,,0,0,0,0
300028,黑王子,防御等级提高8，闪避等级提高8,2,8,,,,,,,0,0,0,0
300029,白马王子,防御等级提高13，先攻等级减低4,2,13,,,,,,,0,0,0,0
300030,怒火激将2,,2,-40,,,,,,,0,0,0,0
300031,首席,防御等级提高13，闪避等级提高3,2,13,,,,,,,0,0,0,0
300032,王母之怒,,2,-17,,,,,,,0,0,0,0
300033,走单骑,,2,4,,,,,,,0,0,0,0
300034,霸王色霸气,,2,-5,,,,,,,0,0,0,0
300035,三宝,,2,15,,,,,,,0,0,0,0
300036,魔戒再临,,2,18,,,,,,,0,0,0,0
300037,俘虏之箭,场上每有一个男性，王者等级提高2，闪避等级减低2，王者等级最多提高14。,2,-2,,,,2,,,0,0,0,0
300038,寒冰之力,防御等级提高20,2,20,,,,,,,0,0,0,0
300039,BKB,防御等级提高10。你每拥有60防御等级增加1王者等级。,2,10,,,,,,,0,0,0,0
300040,斯巴达之魂,先攻等级提高4，防御等级降低4，王者等级提高2。,2,-4,,,,,,,0,0,0,0
300041,小白狼之爱,防御等级提高3，王者等级提高2,2,3,,,,,,,0,0,0,0
300042,炼金术,先攻等级减少5，防御等级减少5，闪避等级减少5。,2,-5,,,,,,,0,0,0,0
300043,岳母大人？哼！,防御等级提高14。你每拥有50防御等级增加1王者等级，至多提高6。,2,14,,,,,,,0,0,0,0
300044,极限运算,防御等级提高4，闪避等级提高6。,2,4,,,,,,,0,0,0,0
300045,无名之力,防御等级减少8,2,-8,,,,,,,0,0,0,0
300046,圣界崩坏,防御等级减少50，闪避等级减少20，王者等级减少65.,2,-50,,,,,,,0,0,0,0
300047,疾速信标,防御等级提高16，王者等级提高4.,2,16,,,,,,,0,0,0,0
300048,天狗食日,"先攻等级提高30,防御等级降低30,王者等级提高5.",2,-30,,,,,,,0,0,0,0
300049,驾驭麋鹿,场上每有一个女性角色，王者等级提高4，先攻等级降低1，防御等级降低1。王者等级最多提高16点。,2,-1,,,,3,,,0,0,0,0
300050,王之领域·改,防御等级提高15 王者等级提高1,2,15,,,,,,,0,0,0,1
300051,真·王之领域,防御等级提高16 王者等级提高2,2,16,,,,,,,0,0,0,2
300052,极·王之领域,防御等级提高19 王者等级提高3,2,19,,,,,,,0,0,0,3
300053,财运到,防御等级提高8，王者等级提高4。,2,8,,,,,,,,,,
