ID,条件1（1表示需要声望等级2表示多少关卡通关）,条件2,标题,内容,寄件人姓名
number,number,number,string,string,string
ID,type,num,title,content,writer
1,2,100010,神秘信件,天空一声巨响，客服闪亮登场……女士们，先生们，我就是热心的首席客服天赐，大家有困难就找我。,奇迹客服—天赐
2,2,100035,冒险家来信,各位勇者，前方有各种艰难的关卡在等着你们，但是我相信凭着你们的聪明机智，任何困难你们都可以跨越，没有任何东西能阻止你们登上巅峰。在此，祝君武运昌隆。,冒险家—道哥
3,2,100055,流浪画家密信,想要在这个世界变得更漂亮吗？想要的话可以帮你做到，去找吧！我把所有变漂亮的工具都放在那里了！,流浪画家—David
4,2,100085,炒面大法好,打到这里辛苦了，需要来一份炒面吗？告诉你，炒面这东西，方便又吃的饱，简直乃居家旅行之神物。,炒面贩子—e
5,2,100110,打篮球少人,干的不错啊，少年，看你打到这里，想必是有点实力的，要不一起来打篮球，刚好少个人。,篮球新秀—三金
6,2,100140,学习滑板吧,哟，哟，切克闹……哟，不错哦，探索了这么多地方了。不过年轻人，如果你会滑板的话，探索速度会加快哦。来来来，和我一起学滑板吧。,滑板运动员—幻想多
7,2,100170,协会信件,尊敬的冒险家，通过一系列冒险，你的名字渐渐为别人所知，你的冒险故事被吟游诗人传颂，这是你向着传奇迈进的开始，希望能有一天，你的名字能在历史中熠熠生辉。,冒险家协会
8,2,100260,无悔冒险,我曾经也是一个的冒险家，直到我膝盖中了一箭。但是即使现在膝盖不好，走路不便，我也没因当年去冒险而后悔。,佚名
9,2,100350,会长来信,"听说你已经到珈蓝之空了，那你应该发现手上地图后面的路已经没有了，因为我们只探索达了这里，开拓后面的任务只能交给你们了，年轻人呀,成为世界的基石吧！",冒险家协会会长
10,2,100440,青史留名,原来后面还有这样的地方，作为这么多新大陆的发现者，你在历史上留下了浓重的一笔。,史官—司马
11,2,100014,去新世界,你想去新世界？年轻人我告诉你，打败每一张地图简单第五关的Boss就可以，只要你的战力足够；战力不够就升级升级再升级！什么？你要去上海的新世界？再见！,老司机
12,2,100006,上阵提战力,俗话说的好，有金上金，无金上紫，实在不行，有啥佣兵就上啥佣兵呗，阵容空着总不是个事儿，何况上了就能提战力，您说是不是这个理儿？,老大爷
13,2,100018,矿洞流传的顺口溜,矿区是个好地方，产出宝箱还有矿；矿区深处有魔像，战胜魔像有宝藏；战斗失败不要慌，重置矿区帮你忙。,非洲矿工
14,2,100020,不要看不起紫色,觉醒最大的效果是什么？大幅度提升战力呀~不要担心觉醒蓝色紫色浪费资源了，提升战力才是最重要的！,紫色佣兵联盟
15,2,100025,天佑神殿,买的人多就涨价，没人买价格就跌？求秘方能保佑我神殿能快点出我想要的佣兵，不然价格就涨上去啦。,祈祷神殿的人
16,2,100030,天梯,貂蝉这个妹纸除了貌美如花以外还有一个最大的好处，有她在阵容里，出手就快了，因为有先攻呀,妹控
17,2,100040,难度,坑爹的普通难度，一点都不普通好吗？经常打不过去好吗？提示放对话里都不看的好吗？还不如关卡攻略里的提示呢,被坑的冒险者
