ID,对应声望等级,邮件标题,内容,寄件人姓名,备注
number,number,string,string,string,string
ID,level,title,content,writer,
1,1,哼哼,杂兵雕像登场，你想挑战boss大哥，先打赢我们再说吧。,魔铁巨像,
2,1,帅气的来信,小家伙，来理个发怎么样，刚刚成为冒险者，怎么能不把自己弄得干净利落。,村口王师傅,
3,1,前辈提示,怪物获胜会抢你的资源，每多输一次，被抢的数量翻倍，过一段后，它要抢走的物资数量会重新计算，别问我怎么知道的。,佚名,
4,1,村民来信,很少看见你这种不翻我们宝箱的勇者了。,某村民,
5,1,挑战,你出手比我快？不可能。,服部半藏,
6,1,宝具,许多佣兵带着的物品材质非常好，只要把它们强化到20，就可以升华为宝具了。所以，来强化一发吧。,铁匠,
7,1,勇者心得部分,宿命武器是勇者的象征，其中有一部分遗失在外面，你可以在关卡中寻找，有一部分协会保管，你需要完成一些事情才能获得,前代勇者,
8,1,信件说明,我们在邮件上标记的时间是他上次传送到这个世界的时间，可不是他离开这个世界的时间。,邮局,
9,1,卡关通关方法,通关方法哪里找，还不赶紧上官网！卡关全都不要急，群里就有老司机！,客服娘,
10,1,爱心点数,好友的爱心点数可以无限接受，然而我早已看穿了一切，上限只有400，超过部分无法加上去了。,新吧唧,
11,1,bug,遇到事情不要慌张，我有特别的解决技巧——退出重进。,来自香港的玩家,
12,1,界限突破,卡卡西老师告诉我觉醒五次以后就能进行界限突破了，而界限突破满级以后可以获得随机属性一个debayo！,吊车尾少年,
13,1,金币召唤,不是土豪不要和我搭话。我不会告诉你金币召唤的金额会越来越高，但是第二天将会重置的。,小乔,
14,1,技能,排列阵型时超过100%部分的技能将会溢出，无法释放…，我悄悄地告诉你，深藏功与名,佚名,
15,1,合体技,卧槽？合体技技能不可以叠加，我从未见过有如此厚颜无耻之策划！,勇者同盟会,
16,1,合体技,什么？龙母的合体技触发不了，你确定你的无垢者都上阵了吗？,师傅,
17,1,背包,如果看到背包有余，然而却提示背包空间不足，那是因为我们担心你捡到的礼物放不下。背包空格建议多解锁几个，,GM,
18,1,宝物探索,我看到报道说，宝物探索过程中切换关卡的话，宝物发现时间将会重新计算。,数学家,
19,1,矿区,别问我在哪层打出了这么多巨魔雕像，我发现他的出现真的没有规律。,知名玩家,
20,1,抽金,知道你读书少，我不骗你。听说下雨天抽金机率比较高。╮(╯▽╰)╭,大文豪,
21,1,神殿,神殿刷出来英灵和昨天一样？这不是bug，是天意,天意,
22,1,竞技场,竞技场是按照你的战力80%~120%选择的匹配对手，如果打不过，(⊙_⊙)有必要重新审视一下你的阵容了…,首席客服,
23,1,小黄人,勇者大人，我听铁蛋说，矿区的魔铁巨像这家伙一旦被无视就会很生气，后果很严重，矿镐消耗就会增加的。,村里的小孩,
24,1,卡关,卡在普通关卡里反复战斗反复失败，是不是整个人都不好了？先去其他地图的简单关卡吧。,小茜,
25,1,解雇佣兵,重新召唤佣兵所需碎片数将是解雇佣兵所得碎片数的2倍，出来混迟早是要还的。,黑道大哥,
26,1,碎片,我仿佛听到了你口袋里的碎片在发光！快去天空神殿，你就可以知道自己有多少碎片了。,乞丐,
27,1,duang,当我第一次入坑的时候，其实我是拒绝的。现在呢，我每天还在加特技！加了很多特技！佣兵DUANG~DUANG~DUANG~,成大哥,
28,1,哼哼,别以为在竞技场放倒了我就值得嘚瑟。哼，要不是我的好佣兵全部上交给国家了，你以为你能打过我吗？,克里斯克里斯,
29,1,大甩卖啊,王八蛋收藏家，欠下无数钱，现在带着他的小姨子跑了，现在我们拿他的收藏品抵债，8折甩卖，机不可失，失不再来,游荡商人,
30,1,交给你了,我从mu77超人的岗位上退休了，但是这个位置可不能空缺，所以，年轻人，维护世界和平的任务就交给你了,退隐的前辈,
31,1,秘方,如果你头痛，那么请砍脚，这是我试验出来的秘方,不务正业的现充美术David,
32,1,有好东西啊,这里有来自利贝尔的高级武器，只卖998米拉。什么，你没有米拉，那么就200耀晶石块吧,奸商,
33,1,少年强则……,少年，我们这群老油条已经退出江湖了，拯救世界就靠你了（老博登的祝福，灵性+100）,一群老博登,
34,1,村长祝福,勇者们，在你们登上旅途之前，我只希望牢记一点，你们很强,村长,
35,1,改名大法好,有人名字叫7，就有7个炮姐，机智如我就改名为29了,29,
36,1,小伙伴的经验,装B如风，长伴吾身，我就是一个这么任性的人,monkey,
37,1,奶爸心得1,当上帝给你关上一扇门的时候，自己想办法砸墙出去，因为叮当说不定就忘开窗户了！,奶爸,
38,1,输不可怕,输不可怕，输了就怂那才完蛋，输了不要去扯对面好强，绝对赢不了，而是摆正心态去努力。,拐杖老头,
39,1,梦想,人没有梦想，和咸鱼有什么区别，所以别拦我，我要证明自己不是非洲人,欧（fei）洲人,
40,1,别抹黑非洲人,连自己想要的牌都抽不到还好意思说自己是非洲人,法老王（游戏）,
41,1,子翼兄亲启,看我XX是否威武，我帐下XX是否雄壮,周,
42,1,哎,这都还没出金，我从未见过如此乌漆墨黑之人,南阳某村夫,
43,1,来看我七进七出,怪物你看勇者你不在就这么嚣张，这怎么能忍，我要教他做大人,卖肉的小青年,
44,1,素材召集,你有什么素材吗，有就和我说吧，我要弄一个大新闻,清廉正直的记者,
45,1,太令人惊讶了,武藏野最近干的不错啊，不管是《EXODUS！》还是《第三飞行少女队》都不错啊,动漫爱好者,
46,2,不能忍,今天和班上的狗蛋打架了，虽然老爹说打架是不对的，但是他到处说您的坏话这个我不能忍！您是我最崇拜的人！,村里的小孩,土包子
47,2,被您救过的汪酱,还记得我吗？我是曾经被您救过的一只汪酱，在我的传教下，现在汪之一族没有人不知道您的名字了！,汪酱,狗
48,2,洗刷冤屈,听说您愿意为平民百姓伸张正义洗刷冤屈，不知可愿帮助妾身洗刷冤屈。来生愿结草衔环，以报平冤之恩。,窦娥,
49,2,宝具光环,妈妈说，出门带宝具的人运气都不会太坏，我觉得大概是因为别人打不过你了吧。,天真少女,
50,3,村口单挑,刚去村口理发店烫头，烫头师傅说村长最近很看好你，要让你当下届村长。我不服！今晚村口玉米地单挑！敢不敢来？！,轩辕狗蛋,土包子
51,3,真长脸了,妈呀 今个儿俺去隔壁镇上给媳妇儿买布 听到隔壁镇都在传你的事儿了 小伙儿好样儿的啊，给咱长脸了！,李铁柱,
52,3,勇者同道,曾经我也是一名出色的勇者…直到我的膝盖中了一箭…希望你能代替我的膝盖， 好好在勇者这条生涯继续走下去！,无名勇者,
53,3,毫无意义的挑战,讲真的，以你目前的能力来这里冒险，简直是自寻死路好吗？,某利丹·〇风,
54,4,美名四方,寡人听闻勇者手持神兵，统率锐将，征战四方，常胜美名传遍天下。今天下大乱，还望勇者鼎力相助，祝我平定大好河山？,大王,
55,4,冒昧来信,大人降妖除魔，造福乡里乡亲，妾身冒昧上书，只为一表感谢之意。悉闻大人将要远行，愿大人一路平安。,大乔,古装少女
56,4,不要太嚣张！,喂，新人，最近你是不是有点嚣张了！稍微有点声望而已，不要太得意了。好好掂量掂量自己的分量再说话！,科里斯蒂贵族,骄傲的冒险者
57,4,你与明明,明明可以靠脸吃饭，你却要靠实力来冒险——这就是你跟明明的差距。,小红,
58,5,村长来信,想当年你还是喜欢炸屎吓小姑娘的傻孩子，现在已经成长的这么好了，村长我真是欣慰无比……好好替村儿争光，还有更多的大陆在等你！,村长,
59,5,侠肝义胆,近来听闻大人事迹，大人为名请命，又除恶霸，此等侠义之心，令妾身深感佩服。征途漫漫，万望大人珍重。,小乔,古装少女
60,5,我来成全你,奶奶的！居然有人的声望压过了本大爷！该死的！天堂有路你不走，地狱无门你偏闯！既然找死，我就成全你！,流氓头头,凶神恶煞
61,5,野队求组,听说迷失森林有魔兽出没，太好了又能赚外快了，强力组3Q1，战力100k以上的来~,白银级佣兵,
62,6,上皇榜了,俺滴妈呀！！！现在皇城根儿都贴了皇榜说要奖赏我们村的勇者啦！！你可真是我们村儿的骄傲啊！！！,李铁柱,
63,6,妈妈再也不担心了,自从我们这来了一个勇者大人，小伙伴们都说，妈妈们再也不担心我们交到坏朋友了。勇者大人一个顶十个！,李铁柱之子,
64,6,话题对象,我作为一个地下党，我们的同志遍布五湖四海，有的甚至打入了黑衣组织的内部，然而四处都在谈论一个话题。那就是——你！,黑道小弟,
65,6,打怪Disco,打怪这件事，其实很简单，怪物动一次打一次、动一次打一次、动次打次动次打次……苍茫的天涯是我的爱~(*ﾟ▽ﾟ*)  好像哪里不对？,普通的DJ,
66,6,我有药,我有药，你需要吗？什么，你说我猥琐，你看我的身影，看我的眼神，这么的正派。,药贩子,
67,6,年轻真好啊,年轻真好啊，真羡慕你们这群年轻人啊,老冒险者,
68,7,重重有赏,你保护朕的子民，救他们与水火之中，朕感激不尽。告诉朕你喜欢什么！告诉朕想要什么！告诉朕你今天穿的什么！,皇帝 ,
69,7,狗眼已瞎,看到你我仿佛觉得自己的钛合金狗眼进了黄金弹，这这这…这就是传说中的勇者的光芒吗！根本无法直视！,草民,
70,7,臣妾做不到啊,皇上，要臣妾把心交给你 臣妾做不到啊！臣妾的心已经住进了勇者 臣妾要与他生死相随！,皇后,
71,7,游戏工作者的自白,记得刚来做游戏时，bug多多错误连连，其他同事意见很大；经过这段时间的苦心磨练，终于有了成果：他们都骂不过我了。(｡・`ω´･) ,程序猿Peter,
72,7,哟，新人,哟，新人，成长的很快呀，虽然你现在还差的远呢，不过我现在还是勉为其难的夸奖你一下好了,科里斯蒂贵族,
73,7,挑战书,近些天看你的风头很盛啊，听说大家都很看好你，那么作为未来传奇的我，就来试试你有多少实力吧！,天才冒险家,
74,8,都是你,最近总在报纸上看到你…今天的报纸的头条又是你：我可是要成为新世界的神的男人！,老爷爷,
75,8,命令,我对普通的勇者没有兴趣。排行榜上鼎鼎有名、号令绝顶佣兵、氪金土豪可以尽管来找我，完毕。,任性的神明,
76,8,情书1,自从勇者你的名望越来越高，不少少年少女愿意和你生猴子吧，但是还希望能记住我，我是第一个来排队的！ (╭￣3￣)╭♡,花痴,
77,8,看脸的世界,外头纷纷在传有一个新来的冒险家风头很劲呀，该不会就是你吧，实力跟长相不符合呀。,一个颜控,
78,8,拜师,大人，我想拜你为师，不知道可不可以,妮尔,
79,8,混的不错啊,还记得你威尔大哥我吗，没想到你这小子最近混的不错啊，名气蛮响亮的啊，哈哈哈,威尔军团长,
80,8,留条活路啊,哥们，留条活路啊，有没有必要这么拼啊，你把任务接完了我们怎么办啊,落魄的冒险者,
81,8,招募英才,年轻人，来我们《剑与魔法》佣兵团吧！我们现在正在发展中，诚邀各路英才,克里斯,剑与魔法佣兵团团长
82,9,盗〇笔记,最近我想把勇者大人曾经用过的擦鼻涕纸上交给国家，但是隔壁的王老板说，他愿意拿1千万买下来，我有点犹豫……,农村人,
83,9,良心决斗者,当我第一次知道要和你决斗时，其实我是拒绝的。你不能让我决斗我就决斗，我怕这是加了特技的，是特技的决斗，是决斗的特技，duang~,Jack陈,
84,9,马猴勇者,这位勇者，看到你的诸多战斗，感觉你很有潜力啊，和我签订契约，成为魔法勇者吧！,丘比,
85,9,人与兽,勇者大人，听说你见过各种各样的魔兽，我想问问你，为什么我们要打怪呢？真的不能和它们成为朋友吗？,善良的驯兽师,
86,10,不错啊,你小子行啊，有没有兴趣来军队跟你大哥混,威尔军团长,
87,3,小道消息,传闻最近有高手混迹在我们这些低级冒险者之间，这是个好机会啊，必须要去抱高手大腿啊,有理想的陆仁嘉,
88,3,RP守恒定律,你知道什么是RP守恒定律吗，那就是有人RP高，有人RP低，所以这个世界的RP是平衡的……,RP研究者,
89,3,拉郎配走开！,可乐跟我没关系！你们别再说他是幻想多的可乐啦！他不是我的菜！,幻想多,
90,3,深沉的爱,已经攒了好几盒高达没拼了，我的麒麟臂正在跃跃欲试中，高达才是男人的浪漫啊,天赐,
91,3,love letter,听说四大天王都是超级美男子，可以和我来一场梦幻的恋爱风暴吗,某少女,
92,3,增员操,"1个小矿工呀,来到新华里呀,每天都会增到1个优秀的矿工；今天增1个呀,明天增1个呀,后天还会增到许多优秀的矿工。",新华里矿工,
93,3,求关注求疼爱,我这么帅为什么没有人来粉我！那个快递、鸡排外卖的粉都比我多！ 呜呜呜呜,某官博菌,
94,3,精神污染,据说盯着我头像看20秒会看到北极光,李婆儿,
95,3,不约我们不约,不是除了照片现实也美的妹子我只有一句话，不约！我们不约,可乐,
96,3,漂流信件,送给不知名收信者的忠告，如果你是个小兵，在战场遇上特种机型还是避开吧。,某士兵,
97,3,传教信件,如果你没有学会游泳，你就会不知所措，就会被水淹没。最后祝你身体健康，再见。,某“游泳”教练陈,
98,3,忠告,这虽然是游戏，当可不是闹着玩的,某骑士团团长,
99,3,什么叫倒霉,那天对面放死亡镰刀，我中了，然后我放了电磁炮，然后对面放了万花筒，我只能说我简直是日了狗了,某玩家,
100,3,奇迹啊,看我发现了什么，一只野生的炮姐，这一定不是在做梦，一定不是在做梦，这一定不是在做梦,非洲玩家,
