ID,类别,标题,内容,下限（进度/燃烧度）,上限（进度/燃烧度）
number,number,string,string,number,number
ID,type,title,desc,lower_limit,upper_limit
1,1,事件总结,地下太黑，我们在一个岔道选错了方向，偏离了正道，虽然最后还是拐了回来，但是已经走了太多冤枉路……,0.2,0.25
2,1,事件总结,咦，为什么燃烧不完全！经排查，发现燃烧炉进气管有问题，经过一番努力，修好了进气管，但是燃料已经浪费了一部分……,0.2,0.25
3,1,事件总结,在地底下潜太过于无聊，于是矿工们就利用燃烧炉供能，偷偷玩起了游戏，唉，能量就这么流失了一部分！,0.2,0.25
4,1,事件总结,可能是由于没洗脸，所以这次的进行过程中尽是大石块，硬土，导致进度远远低于预期。,0.2,0.25
5,1,事件总结,在下挖过程中，无数沙虫向挖掘机撞来，迫不得已，我们只能开启能量罩，唉，该死的沙虫……,0.2,0.25
6,1,事件总结,矿工：老板，说起来你可能不信，我们在下潜过程看到一个住地底下的美女，为了送她回家，所以我们绕了一点路！,0.2,0.25
7,1,事件总结,在挖矿过程中，挖了一堆蠕虫的老巢，它们死之前放了“远方之激震”，引起了地震，最后矿路变化，所以就多花了点时间去找路了。,0.2,0.25
8,1,事件总结,老板，在下潜过程中，我们发现了偷矿分子，我们追击不知道几千里，终于将其击毙于地底，不过下潜进度有所拖累，恐怕项目要delay。,0.2,0.25
9,1,事件总结,下潜中发生了交通事故，与别的挖掘机碰撞，处理花了较多时间……,0.2,0.25
10,2,事件总结,在下挖过程中，有少数沙虫向挖掘机撞来，我们开启能量罩进行防御，能量稍稍消耗了一些……,0.25,0.3
11,2,事件总结,矿工队在中途发现一个矮人遭遇一堆地底怪物的围攻，矿工们果断发射激光炮参战，解救了矮人盆友，可喜可贺，可喜可贺！,0.25,0.3
12,2,事件总结,矿工：中途遇上了强盗，不过我们在地底朋友遍地，卓尔小姐姐，矮人盆友，骨龙大哥……在他们的帮助下，我们无伤搞定对面。,0.25,0.3
13,2,事件总结,矿工们在地底挖掘出了一个金字塔，为了避免毁坏遗迹，他们选择稍稍绕点路。,0.25,0.3
14,2,事件总结,矿工们偶感风寒，精神有点萎靡，下潜进度比预计略低。,0.25,0.3
15,2,事件总结,矿工们在下潜过程中，对于豆腐脑应该是甜还是咸这个问题发生了激烈的讨论，因此进度比预计略低……,0.25,0.3
16,2,事件总结,在下潜的途中，矿工们途径地底都市“翡冷翠”，当地刘姓领主非常热情好客，于是邀请他们参加了宴会。,0.25,0.3
17,2,事件总结,地底也有热闹看，好像是一位少年惨遭退婚，少年喊了一句“三十年河东，三十年河西，莫欺少年穷”，之后他就消失不见了，旁边的吃瓜子矿工表示差评……,0.25,0.3
18,3,事件总结,难以置信，今天挖的尽是软土，进度竟然比预期的快，恩，看来我还是欧洲人啊！,0.3,0.35
19,3,事件总结,在下潜过程中发现有段路竟然已经被挖通，是哪位天使大姐做的好事啊，good job。,0.3,0.35
20,3,事件总结,一群冒险者在围攻森文督姆，最后森文督姆自爆，万万没想到，它的自爆竟然使得炸开了一段我们接下来的路，果然还是好人有好报啊！,0.3,0.35
21,3,事件总结,路上遇上了地心古树的尸体，矿工们本着不浪费的心态，把它扔进了燃烧炉，所以进度比预期的高哦！,0.3,0.35
22,3,事件总结,途径矮人部落，矮人盆友把钻头打磨了一下，效率提高。,0.3,0.35
23,3,事件总结,矿工们突然热血沸腾，高呼，我们的钻头可是突破天际的，啊不对，我们的钻头可是突破地底的，激情高涨，效率倍升。,0.3,0.35
24,3,事件总结,路上有不明生物袭来，灵体，防御不能，这个时候矿工们爆发了难以置信的潜力，向下狂挖，最后逃出生天。,0.3,0.35
25,3,事件总结,星空下第一强者和星空下第二强者（简称星空第一和星空第二）在地下约战，只见约战地点剑气纵横，能量四射，挖掘机途径此地时，能量莫名上涨，又可以多挖一点了！,0.3,0.35
26,4,事件总结,途中遇上了老朋友托尔，高兴的老友帮了你一把，打开了一段长长的通道，下潜进度急速上升。,0.35,0.4
27,4,事件总结,在地底都市“拉斯维减斯”休息过程中，矿工长神奇的中了大奖，奖品是“一次性核能供能设施”，挖掘结果说明了，核动力就是牛……,0.35,0.4
28,4,事件总结,途中遇上了神奇的长者，他精通时间魔法，在他的加持下，矿工们感觉每1秒都是2秒似的，工作的时间大大增加，挖掘效果非常惊人。,0.35,0.4
29,4,事件总结,地底世界无奇不有，竟然还有沙虫租赁业务，不过说真的，租沙虫下挖速度还真不错。,0.35,0.4
30,4,事件总结,有多家的挖掘机在地底比赛飙车，他们的赛道有一段是我们的挖掘道路，我们就这样省力了好多，真是好同志，老司机，稳！,0.35,0.4
31,4,事件总结,地底在举行爆破比赛，许多地底石块被炸掉，我们的速度快了很多……,0.35,0.4
32,4,事件总结,地精拜托我们试验下他们最新的科技产品——魔导核能混合供能设施，虽然这东西最后爆破了，但是不得不说，效果真是恐怖！,0.35,0.4
33,5,事件总结,遇上了空间乱流，结果莫名其妙的下潜了好多，耶！,0.4,1
