ID,动作名,动作时间,动作时间波动值,结束等待时间,结束时间波动值,归位,移动方向,移动距离,移动波动值,波动衰减,偏移角度随机值,振动X,振动Y,振频,开始变色颜色,变色,开始变色透明,变色透明,人物开始透明度,人物透明度,变色过程,跳起高度,跳起波动值,跳动类型,默认朝向（1，正面2，左3，右4，背面）,转身,转身频率,表情,表情应用对象（1，只有队长0，全体队员）,后续动作
number,string,number,number,number,number,boolean,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,boolean,number,string,number,number
ID,name,time,time_offset,end_time,end_time_offset,is_reset_pos,move_direction,move_distance,move_offset,move_damping,random_angle,vibration_x,vibration_y,vibration_freq,init_color,end_color,init_color_alpha,end_color_alpha,init_role_alpha,end_role_alpha,blend_mode,jump_height,jump_offset,jump_type,def_orientation,is_turn_around,turn_around_freq,emoticon,emoticon_mode,seq_action_id
10000001,攻击,200,10,250,,,1,110,20,,,,,,,,,,,1,,,,,2,,,,,10000002
10000002,攻击I,40,0,0,,,1,20,,,,,,,,,,,,1,,,,,2,,,,,10000003
10000003,攻击II,40,0,250,,,3,20,,,,,,,,,,,,1,,,,,2,,,,,20000001
10000004,突进,30,0,300,,,1,30,10,,,,,,,,,,,0,2,,,,2,,,,,20000001
10000005,受伤,400,0,,,,3,5,,,,7,7,50,,0xff0000,,0.6,,1,1,,,,,,,,,20000002
10000006,重伤,300,0,,,,5,20,,0.1,50,,,,,0xff0000,,0.6,,1,1,5,40,2,,,,,,10000007
10000007,重伤I,200,0,200,,,,,,,,7,7,50,,0xff0000,,0.6,,1,1,5,0,2,,1,50,,,20000002
10000008,躲开,50,,400,,,3,40,,,,,,,,0xffffff,,0.6,,1,1,,,,,,,,,20000003
10000009,被烧重伤,300,0,,,,5,20,,0.1,50,7,7,50,,0xff0000,,0.6,,1,1,5,40,2,,1,50,Chaos,,20000002
10000010,重击,400,,200,,,3,20,,,,,,,,,,,,1,,,,,,,,,,10000011
10000011,重击II,150,,,,,1,50,,,,,,,,,,,,1,,,,,,,,,,20000001
10000012,冰受伤,200,0,600,,,3,5,,,,,,,,0xffffff,,0.6,,1,1,,,,,,,,,10000013
10000013,冰受伤II,300,,,,,,,,,,3,3,50,0xffffff,0xffffff,0.6,0,,1,2,,,,,,,,,20000001
10000014,爪受伤,400,0,,,,3,-15,5,,,7,7,50,,0xff0000,,0.6,,1,1,,,,,,,,,20000002
10000015,音受伤,100,0,100,,,5,-25,5,0.01,,7,7,50,,0xffff00,,0.6,,1,1,,,,,,,,,10000016
10000016,音受伤II,200,0,200,,1,,,,,,,,,0xffff00,0xffff00,0.6,0,,1,1,,,,,,,,,
10000017,雷受伤,200,0,600,,,3,5,,,,,,,,0xffff00,,0.8,,1,1,,,,,,,,,10000018
10000018,雷受伤II,300,,,,,,,,,,3,3,50,0xffff00,0xffffff,0.8,0,,1,2,2,3,2,,,,,,20000001
10000019,炎爆重伤,0,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,10000020
10000020,炎爆重伤II,800,0,300,,,5,30,,0.5,10,6,2,20,,0xff0000,,0.6,,1,1,50,30,2,,1,40,,,10000021
10000021,炎爆重伤III,300,,200,,1,,,,,,,,,,0xffffff,,0,,1,2,,,,1,,,,,
10000022,冰爆受伤,200,0,600,,,,,,,,,,,,0xffffff,,0.8,,1,1,,,,,,,,,10000012
10000023,暗爆受伤,200,0,300,,,,,,,,,,,,0xad00bc,,0.8,,1,1,,,,,,,,,10000024
10000024,暗爆重伤,0,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,10000025
10000025,暗爆重伤II,800,0,300,,,5,30,,0.5,10,6,2,20,0xad00bc,0xad00bc,0.4,0.4,,1,1,50,30,2,,1,40,,,10000026
10000026,暗爆重伤III,300,,200,,1,,,,,,,,,0xad00bc,0xffffff,0.4,0,,1,2,,,,1,,,,,
10000027,振击受伤,100,50,50,,,,,,,,6,6,50,,0xffff00,,0.8,,1,1,,,,,,,,,10000028
10000028,振击受伤I,100,50,50,,,,,,,,6,6,50,,0xffff00,,0,,1,1,,,,,,,,,10000029
10000029,振击受伤II,100,50,50,,,,,,,,6,6,50,,0xffff00,,0.8,,1,1,,,,,,,,,10000030
