ID,符文名称,符文类型（1代表经验，2代表四维，3代表技能）,图标路径,描述,品质,等级上限,己方属性,敌方属性,技能ID,基础经验
number,string,number,string,string,number,number,string,string,number,number
ID,name,type,icon,desc,quality,level_limit,mine_property,enemy_property,skill_id,out_exp
,经验,,,,,,,,,
1,小经验符文,1,icon/rune_icon/rune3021.png,这个符文虽然没有能力，但是吃了它有经验啊。,3,1,,,,500
2,大经验符文,1,icon/rune_icon/rune4021.png,这个符文虽然没有能力，但是吃了它有很多经验啊。,4,1,,,,1000
3,巨大经验符文,1,icon/rune_icon/rune5021.png,这个符文虽然没有能力，但是吃了它有非常多的经验啊。,5,1,,,,3000
,,,,,,,,,,
,白色符文,,,,,,,,,
4,先攻符文,2,icon/rune_icon/rune1001.png,普通级白色先攻加成符文。速度就是激情，冲冲冲。,1,5,"1#5,1",,,10
5,先攻衰弱符文,2,icon/rune_icon/rune1002.png,普通级白色先攻衰弱符文。不是老司机，还想飙车！,1,5,,"1#5,-1",,10
6,防御符文,2,icon/rune_icon/rune1003.png,普通级白色防御加成符文。俗话说的好，防守赢得胜利。,1,5,"2#5,1",,,10
7,防御衰弱符文,2,icon/rune_icon/rune1004.png,普通级白色防御衰弱符文。走，把他那恶心的装甲给扒了！,1,5,,"2#5,-1",,10
8,闪避符文,2,icon/rune_icon/rune1005.png,普通级白色闪避加成符文。我闪，我奶，哈哈哈。,1,5,"3#5,1",,,10
9,闪避衰弱符文,2,icon/rune_icon/rune1006.png,普通级白色闪避衰弱符文。有本事接着跳啊，哼！,1,5,,"3#5,-1",,10
10,王者符文,2,icon/rune_icon/rune1007.png,普通级白色王者加成符文。世界啊 臣服于我吧。,1,5,"4#5,0.5",,,10
11,王者衰弱符文,2,icon/rune_icon/rune1008.png,普通级白色王者衰弱符文。我才是天选之王！,1,5,,"4#5,-0.5",,10
,,,,,,,,,,
,绿色符文,,,,,,,,,
12,先攻符文,2,icon/rune_icon/rune2001.png,良品级绿色先攻加成符文。速度就是激情，冲冲冲。,2,10,"1#8,1,10,2",,,20
13,先攻衰弱符文,2,icon/rune_icon/rune2002.png,良品级绿色先攻衰弱符文。不是老司机，还想飙车！,2,10,,"1#8,-1,10,-2",,20
14,防御符文,2,icon/rune_icon/rune2003.png,良品级绿色防御加成符文。俗话说的好，防守赢得胜利。,2,10,"2#8,1,10,2",,,20
15,防御衰弱符文,2,icon/rune_icon/rune2004.png,良品级绿色防御衰弱符文。走，把他那恶心的装甲给扒了！,2,10,,"2#8,-1,10,-2",,20
16,闪避符文,2,icon/rune_icon/rune2005.png,良品级绿色闪避加成符文。我闪，我奶，哈哈哈。,2,10,"3#8,1,10,2",,,20
17,闪避衰弱符文,2,icon/rune_icon/rune2006.png,良品级绿色闪避衰弱符文。有本事接着跳啊，哼！,2,10,,"3#8,-1,10,-2",,20
18,王者符文,2,icon/rune_icon/rune2007.png,良品级绿色王者加成符文。世界啊 臣服于我吧。,2,10,"4#8,0.5,10,1",,,20
19,王者衰弱符文,2,icon/rune_icon/rune2008.png,良品级绿色王者衰弱符文。我才是天选之王！,2,10,,"4#8,-0.5,10,-1",,20
,,,,,,,,,,
,蓝色符文,,,,,,,,,
20,先攻符文,2,icon/rune_icon/rune3001.png,优秀级蓝色先攻加成符文。速度就是激情，冲冲冲。,3,12,"1#6,1,10,1.5,15,2",,,50
21,先攻衰弱符文,2,icon/rune_icon/rune3002.png,优秀级蓝色先攻衰弱符文。不是老司机，还想飙车！,3,12,,"1#6,-1,10,-1.5,15,-2",,50
22,防御符文,2,icon/rune_icon/rune3003.png,优秀级蓝色防御加成符文。俗话说的好，防守赢得胜利。,3,12,"2#6,1,10,1.5,15,2",,,50
23,防御衰弱符文,2,icon/rune_icon/rune3004.png,优秀级蓝色防御衰弱符文。走，把他那恶心的装甲给扒了！,3,12,,"2#6,-1,10,-1.5,15,-2",,50
24,闪避符文,2,icon/rune_icon/rune3005.png,优秀级蓝色闪避加成符文。我闪，我奶，哈哈哈。,3,12,"3#6,1,10,1.5,15,2",,,50
25,闪避衰弱符文,2,icon/rune_icon/rune3006.png,优秀级蓝色闪避衰弱符文。有本事接着跳啊，哼！,3,12,,"3#6,-1,10,-1.5,15,-2",,50
26,王者符文,2,icon/rune_icon/rune3007.png,优秀级蓝色王者加成符文。世界啊 臣服于我吧。,3,12,"4#6,0.5,10,0.75,15,1",,,50
27,王者衰弱符文,2,icon/rune_icon/rune3008.png,优秀级蓝色王者衰弱符文。我才是天选之王！,3,12,,"4#6,-0.5,10,-0.75,15,-1",,50
,,,,,,,,,,
,紫色符文,,,,,,,,,
28,先攻符文,2,icon/rune_icon/rune4001.png,史诗级紫色先攻加成符文。速度就是激情，冲冲冲。,4,14,"1#5,1,13,2,19,4,20,5",,,100
29,先攻衰弱符文,2,icon/rune_icon/rune4002.png,史诗级紫色先攻衰弱符文。不是老司机，还想飙车！,4,14,,"1#5,-1,13,-2,19,-4,20,-5",,100
30,防御符文,2,icon/rune_icon/rune4003.png,史诗级紫色防御加成符文。俗话说的好，防守赢得胜利。,4,14,"2#5,1,13,2,19,4,20,5",,,100
31,防御衰弱符文,2,icon/rune_icon/rune4004.png,史诗级紫色防御衰弱符文。走，把他那恶心的装甲给扒了！,4,14,,"2#5,-1,13,-2,19,-4,20,-5",,100
32,闪避符文,2,icon/rune_icon/rune4005.png,史诗级紫色闪避加成符文。我闪，我奶，哈哈哈。,4,14,"3#5,1,13,2,19,4,20,5",,,100
33,闪避衰弱符文,2,icon/rune_icon/rune4006.png,史诗级紫色闪避衰弱符文。有本事接着跳啊，哼！,4,14,,"3#5,-1,13,-2,19,-4,20,-5",,100
34,王者符文,2,icon/rune_icon/rune4007.png,史诗级紫色王者加成符文。世界啊 臣服于我吧。,4,14,"4#6,0.5,13,1,19,2,20,3",,,100
35,王者衰弱符文,2,icon/rune_icon/rune4008.png,史诗级紫色王者衰弱符文。我才是天选之王！,4,14,,"4#6,-0.5,13,-1,19,-2,20,-3",,100
,,,,,,,,,,
,金色符文,,,,,,,,,
36,先攻符文,2,icon/rune_icon/rune5001.png,传奇级金色先攻加成符文。速度就是激情，冲冲冲。,5,14,"1#11,2,13,3,18,7,20,3.5",,,150
37,先攻衰弱符文,2,icon/rune_icon/rune5002.png,传奇级金色先攻衰弱符文。不是老司机，还想飙车！,5,14,,"1#11,-2,13,-3,18,-7,20,-3.5",,150
38,防御符文,2,icon/rune_icon/rune5003.png,传奇级金色防御加成符文。俗话说的好，防守赢得胜利。,5,14,"2#11,2,13,3,18,7,20,3.5",,,150
39,防御衰弱符文,2,icon/rune_icon/rune5004.png,传奇级金色防御衰弱符文。走，把他那恶心的装甲给扒了！,5,14,,"2#11,-2,13,-3,18,-7,20,-3.5",,150
40,闪避符文,2,icon/rune_icon/rune5005.png,传奇级金色闪避加成符文。我闪，我奶，哈哈哈。,5,14,"3#11,2,13,3,18,7,20,3.5",,,150
41,闪避衰弱符文,2,icon/rune_icon/rune5006.png,传奇级金色闪避衰弱符文。有本事接着跳啊，哼！,5,14,,"3#11,-2,13,-3,18,-7,20,-3.5",,150
42,王者符文,2,icon/rune_icon/rune5007.png,传奇级金色王者加成符文。世界啊 臣服于我吧。,5,14,"4#11,1,13,1.5,18,3,20,2",,,150
43,王者衰弱符文,2,icon/rune_icon/rune5008.png,传奇级金色王者衰弱符文。我才是天选之王！,5,14,,"4#11,-1,13,-1.5,18,-3,20,-2",,150
44,先王符文,2,icon/rune_icon/rune5009.png,传奇级金色先攻王者加成符文。王不先行，跟随者怎知方向。,5,14,"1#11,1.2,13,1.8,18,4.2,20,2.1|4#11,0.6,13,0.9,18,1.8,20,1.2",,,150
45,先王衰弱符文,2,icon/rune_icon/rune5010.png,传奇级金色先攻王者衰弱符文。集火那个跑得快衣服又高档的。,5,14,,"1#11,-1.2,13,-1.8,18,-4.2,20,-2.1|4#11,-0.6,13,-0.9,18,-1.8,20,-1.2",,150
46,防王符文,2,icon/rune_icon/rune5011.png,传奇级金色防御王者加成符文。王居住地必定为永不陷落之城。,5,14,"2#11,1.2,13,1.8,18,4.2,20,2.1|4#11,0.6,13,0.9,18,1.8,20,1.2",,,150
47,防王衰弱符文,2,icon/rune_icon/rune5012.png,传奇级金色防御王者衰弱符文。卧槽，一身金甲，兄弟们，上去扒了。,5,14,,"2#11,-1.2,13,-1.8,18,-4.2,20,-2.1|4#11,-0.6,13,-0.9,18,-1.8,20,-1.2",,150
48,闪王符文,2,icon/rune_icon/rune5013.png,传奇级金色闪避王者加成符文。你知道真命天子嘛。,5,14,"3#11,1.2,13,1.8,18,4.2,20,2.1|4#11,0.6,13,0.9,18,1.8,20,1.2",,,150
49,闪王衰弱符文,2,icon/rune_icon/rune5014.png,传奇级金色闪避王者衰弱符文。别躲了，拿出气概在战场上厮杀吧。,5,14,,"3#11,-1.2,13,-1.8,18,-4.2,20,-2.1|4#11,-0.6,13,-0.9,18,-1.8,20,-1.2",,150
50,先防符文,2,icon/rune_icon/rune5015.png,传奇级金色先攻防御加成符文。跑到快加防御高，我，无敌。,5,14,"1#11,1.2,13,1.8,18,4.2,20,2.1|2#11,1.2,13,1.8,18,4.2,20,2.1",,,150
51,先防衰弱符文,2,icon/rune_icon/rune5016.png,传奇级金色先攻防御衰弱符文。不抢先出手，不身穿重甲，这才是单挑。,5,14,,"1#11,-1.2,13,-1.8,18,-4.2,20,-2.1|2#11,-1.2,13,-1.8,18,-4.2,20,-2.1",,150
52,先闪符文,2,icon/rune_icon/rune5017.png,传奇级金色先攻闪避加成符文。出手快，身手灵敏，这才是输出应用的姿态。,5,14,"1#11,1.2,13,1.8,18,4.2,20,2.1|3#11,1.2,13,1.8,18,4.2,20,2.1",,,150
53,先闪衰弱符文,2,icon/rune_icon/rune5018.png,传奇级金色先攻闪避衰弱符文。在我的控场下，脆皮就是死啊。,5,14,,"1#11,-1.2,13,-1.8,18,-4.2,20,-2.1|3#11,-1.2,13,-1.8,18,-4.2,20,-2.1",,150
54,防闪符文,2,icon/rune_icon/rune5019.png,传奇级金色防御闪避加成符文。活下来才有输出。,5,14,"2#11,1.2,13,1.8,18,4.2,20,2.1|3#11,1.2,13,1.8,18,4.2,20,2.1",,,150
55,防闪衰弱符文,2,icon/rune_icon/rune5020.png,传奇级金色防御闪避衰弱符文。真猛士，不需要闪避防御，是吧，对面的猛士。,5,14,,"2#11,-1.2,13,-1.8,18,-4.2,20,-2.1|3#11,-1.2,13,-1.8,18,-4.2,20,-2.1",,150
,,,,,,,,,,
,闪金符文,,,,,,,,,
56,先攻符文,2,icon/rune_icon/rune6001.png,神话级闪金先攻加成符文。速度就是激情，冲冲冲。,6,14,"1#12,3,13,4,18,10,20,5",,,350
57,先攻衰弱符文,2,icon/rune_icon/rune6002.png,神话级闪金先攻衰弱符文。不是老司机，还想飙车！,6,14,,"1#12,-3,13,-4,18,-10,20,-5",,350
58,防御符文,2,icon/rune_icon/rune6003.png,神话级闪金防御加成符文。俗话说的好，防守赢得胜利。,6,14,"2#12,3,13,4,18,10,20,5",,,350
59,防御衰弱符文,2,icon/rune_icon/rune6004.png,神话级闪金防御衰弱符文。走，把他那恶心的装甲给扒了！,6,14,,"2#12,-3,13,-4,18,-10,20,-5",,350
60,闪避符文,2,icon/rune_icon/rune6005.png,神话级闪金闪避加成符文。我闪，我奶，哈哈哈。,6,14,"3#12,3,13,4,18,10,20,5",,,350
61,闪避衰弱符文,2,icon/rune_icon/rune6006.png,神话级闪金闪避衰弱符文。有本事接着跳啊，哼！,6,14,,"3#12,-3,13,-4,18,-10,20,-5",,350
62,王者符文,2,icon/rune_icon/rune6007.png,神话级闪金王者加成符文。世界啊 臣服于我吧。,6,14,"4#12,1.5,13,2,18,5,20,2.5",,,350
63,王者衰弱符文,2,icon/rune_icon/rune6008.png,神话级闪金王者衰弱符文。我才是天选之王！,6,14,,"4#12,-1.5,13,-2,18,-5,20,-2.5",,350
64,先王符文,2,icon/rune_icon/rune6009.png,神话级闪金先攻王者加成符文。王不先行，跟随者怎知方向。,6,14,"1#12,1.8,13,2.4,18,6,20,3|4#12,0.9,13,1.2,18,3,20,1.5",,,350
65,先王衰弱符文,2,icon/rune_icon/rune6010.png,神话级闪金先攻王者衰弱符文。集火那个跑得快衣服又高档的。,6,14,,"1#12,-1.8,13,-2.4,18,-6,20,-3|4#12,-0.9,13,-1.2,18,-3,20,-1.5",,350
66,防王符文,2,icon/rune_icon/rune6011.png,神话级闪金防御王者加成符文。王居住地必定为永不陷落之城。,6,14,"2#12,1.8,13,2.4,18,6,20,3|4#12,0.9,13,1.2,18,3,20,1.5",,,350
67,防王衰弱符文,2,icon/rune_icon/rune6012.png,神话级闪金防御王者衰弱符文。卧槽，一身金甲，兄弟们，上去扒了。,6,14,,"2#12,-1.8,13,-2.4,18,-6,20,-3|4#12,-0.9,13,-1.2,18,-3,20,-1.5",,350
68,闪王符文,2,icon/rune_icon/rune6013.png,神话级闪金闪避王者加成符文。你知道真命天子嘛。,6,14,"3#12,1.8,13,2.4,18,6,20,3|4#12,0.9,13,1.2,18,3,20,1.5",,,350
69,闪王衰弱符文,2,icon/rune_icon/rune6014.png,神话级闪金闪避王者衰弱符文。别躲了，拿出气概在战场上厮杀吧。,6,14,,"3#12,-1.8,13,-2.4,18,-6,20,-3|4#12,-0.9,13,-1.2,18,-3,20,-1.5",,350
70,先防符文,2,icon/rune_icon/rune6015.png,神话级闪金先攻防御加成符文。跑到快加防御高，我，无敌。,6,14,"1#12,1.8,13,2.4,18,6,20,3|2#12,1.8,13,2.4,18,6,20,3",,,350
71,先防衰弱符文,2,icon/rune_icon/rune6016.png,神话级闪金先攻防御衰弱符文。不抢先出手，不身穿重甲，这才是单挑。,6,14,,"1#12,-1.8,13,-2.4,18,-6,20,-3|2#12,-1.8,13,-2.4,18,-6,20,-3",,350
72,先闪符文,2,icon/rune_icon/rune6017.png,神话级闪金先攻闪避加成符文。出手快，身手灵敏，这才是输出应用的姿态。,6,14,"1#12,1.8,13,2.4,18,6,20,3|3#12,1.8,13,2.4,18,6,20,3",,,350
73,先闪衰弱符文,2,icon/rune_icon/rune6018.png,神话级闪金先攻闪避衰弱符文。在我的控场下，脆皮就是死啊。,6,14,,"1#12,-1.8,13,-2.4,18,-6,20,-3|3#12,-1.8,13,-2.4,18,-6,20,-3",,350
74,防闪符文,2,icon/rune_icon/rune6019.png,神话级闪金防御闪避加成符文。活下来才有输出。,6,14,"2#12,1.8,13,2.4,18,6,20,3|3#12,1.8,13,2.4,18,6,20,3",,,350
75,防闪衰弱符文,2,icon/rune_icon/rune6020.png,神话级闪金防御闪避衰弱符文。真猛士，不需要闪避防御，是吧，对面的猛士。,6,14,,"2#12,-1.8,13,-2.4,18,-6,20,-3|3#12,-1.8,13,-2.4,18,-6,20,-3",,350
,,,,,,,,,,
,活动符文,,,,,,,,,
76,活动经验符文,1,icon/rune_icon/rune6021.png,这个符文虽然没有能力，但是吃了它有5000经验。,6,1,,,,5000
