ID,施放场景特效,施放前特效,施放动作,挨打方特效,场景动作,挨打方动作,闪避动作,自己结束特效
number,number,number,number,number,number,number,number,number
ID,scene_effect,cast_effect,cast_action,be_hitted_effect,scene_action,be_hitted_action,dodge_action,end_effect
1,100001,200001,10000001,110007,1,10000005,10000008,
2,100001,200001,10000001,110009,1,10000027,10000008,
3,100001,200001,10000001,110014,1,10000032,10000008,120004
4,100001,200002,10000001,110002,1,10000006,10000008,
5,100001,200002,10000001,110006,1,10000005,10000008,
6,100001,200002,10000001,110006,1,10000019,10000008,
7,100001,200002,10000001,110017,1,10000047,10000008,
8,100001,,10000001,110001,1,10000005,10000008,
9,100001,,10000001,110002,1,10000005,10000008,
10,100001,,10000001,110002,1,10000006,10000008,
11,100001,,10000001,110005,1,10000019,10000008,
12,100001,,10000001,110013,1,10000005,10000008,
13,100001,,10000001,110013,1,10000027,10000008,
14,100001,,10000001,110014,1,10000032,10000008,
15,100001,,10000001,110015,1,10000037,10000008,
16,100001,,10000001,110019,1,10000054,10000008,
17,100002,200001,10000001,110008,1,10000017,10000008,
18,100002,200001,10000001,110019,1,10000054,10000008,
19,100002,,10000001,110001,1,10000005,10000008,
20,100002,,10000001,110002,1,10000005,10000008,120004
21,100002,,10000001,110002,1,10000005,10000008,
22,100002,,10000001,110002,1,10000006,10000008,
23,100002,,10000001,110005,1,10000015,10000008,
24,100002,,10000001,110007,1,10000005,10000008,
25,100002,,10000001,110013,1,10000005,10000008,
26,100002,,10000001,110015,1,10000037,10000008,
27,100002,,10000001,110018,1,10000054,10000008,
28,100003,200002,10000001,110004,1,10000014,10000008,
29,100003,200002,10000001,110015,1,10000037,10000008,
30,100003,,10000001,110001,1,10000005,10000008,120002
31,100003,,10000001,110001,1,10000005,10000008,120003
32,100003,,10000001,110007,1,10000006,10000008,
33,100003,,10000001,110011,1,10000006,10000008,
34,100003,,10000001,110016,1,10000042,10000008,
35,100003,,10000001,110017,1,10000047,10000008,
36,100004,200001,10000001,110014,1,10000032,10000008,120004
37,100004,,10000001,110001,1,10000005,10000008,120002
38,100004,,10000001,110014,1,10000032,10000008,120004
39,100005,,10000001,110012,1,10000023,10000008,
40,100005,,10000001,110014,1,10000032,10000008,
41,100006,,10000001,110018,1,10000047,10000008,
42,100007,200002,10000001,110019,1,10000054,10000008,
43,100008,200001,10000001,110016,1,10000042,10000008,
44,100009,,10000001,110015,1,10000037,10000008,
45,100010,,10000001,110016,1,10000042,10000008,
46,100011,,10000001,110009,1,10000019,10000008,
47,100012,,10000001,110005,1,10000015,10000008,120001
48,100013,,10000001,110002,1,10000006,10000008,
49,100013,,10000001,110012,1,10000023,10000008,
50,100014,,10000001,110003,1,10000012,10000008,
51,100015,,10000001,110015,1,10000037,10000008,
52,100016,,10000001,110011,1,10000006,10000008,
53,100017,200002,10000001,110001,1,10000006,10000008,
