ID,周期,副本ID,副本初始状态,抽取佣兵数量,上阵佣兵数量,npc对话内容,过关积分,过关佣兵积分,副本名称,怪物ID,佣兵池ID
number,number,number,number,number,number,string,number,number,string,number,number
ID,week,map_id,map_state,get_num,debut_num,npc_speak,win_integral,mercenary_integral,name,boss_id,pool_id
1,1,1,3,30,0,招募冒险者,0,7,时空裂痕,41006,7
2,1,2,1,20,9,狮鹫兽：那么，这个神秘的“蓝条哥”到底是何方神圣?今天就让我们一起了解矮人与狮鹫的故事。,100,7,艾拉泽斯,41006,8
3,1,3,1,20,9,地狱犬：c叔说上帝创造完世界后，又创造了一大堆其他的东西，比如考拉，花草，我。,70,7,冥界之门,41007,9
4,1,4,1,0,9,蛇女：世界上最远的距离不是生与死，而是我开大去支援，你开大跑了，把我一人儿扔那儿傻站…,40,7,古代陵墓,41008,6
5,2,1,3,30,0,招募冒险者,0,7,时空裂痕,41001,1
6,2,2,1,10,7,石像鬼：我们是天生的杀戮者，我们有坚硬的表皮，我们可以变成石头。。。。。啊呀糟糕，我们忘记怎么变回来了。,60,7,燃烧之地,41001,2
7,2,3,1,10,7,梦境之主：你们在这里沉睡吧，我将为你们编织美妙的梦境。梦境中回响起了：“银鳞胸甲 蓝色品质 5g一件 先到先得”,50,7,翡翠梦幻,41002,3
8,2,4,1,10,7,丝西娜：谁也无法击败我，我也能将你变成石头。。。。好像家里石头有点多了，“招搬砖的勇者，包吃包住。”,40,7,神弃之地,41003,4
9,2,5,1,10,7,泽格女王：全军出发，去摧毁每个一个档在我们面前的星球，掠夺所有的资源。。。。。飞龙骑脸怎么输。,30,7,星际空间,41004,5
10,2,6,1,0,7,虚空死神：生，是轮回的一部分。而你的这部分，已然结束了。。。要不你按下重启键在试试？,30,7,虚空裂缝,41005,6
11,3,1,3,40,0,招募冒险者,0,7,时空裂痕,41009,6
12,3,2,1,30,15,夜魔：军团指挥，我唯一的爱，唯一的恨。,150,7,燃烧之井,41009,10
13,3,3,1,0,15,机甲战士：有自己独一无二台词的角色们都编上了序号，不知不觉已经有234位了。,60,7,神庙,41010,6
14,4,1,3,40,0,招募冒险者,0,7,时空裂痕,41011,11
15,4,2,1,30,15,亡灵武士：喂我是个BOSS啊，怎么我的名字看起来像不起眼的小怪？,150,7,古代战场,41011,12
16,4,3,1,0,15,"凋零：如果最后一片叶子凋零的话,自己的生命也该消失了。",60,7,虚空之门,41012,6
17,5,1,3,30,0,招募冒险者,0,7,时空裂痕,41013,6
18,5,2,1,20,8,小白龙：我通身纯白，仿佛穿着白色的殓衣，注定死亡，婚礼的钟声在回响。,80,7,海洋之星,41013,13
19,5,3,1,10,8,恶魔领主：狡诈的联盟，召唤恶魔领主对付部落的勇士。你们离死不远了。,50,7,冥界,41017,14
20,5,4,1,10,8,树妖：没有人能比我活的更长，睡的更久，谁打扰我睡觉我就捏碎他。,40,7,深渊走廊,41018,15
21,5,5,1,0,8,石魔：我坚硬无比，可以用来砸核桃，也可以砸诺基亚。,40,7,恶魔城,41014,6
22,6,1,3,40,0,招募冒险者,0,7,时空裂痕,41015,16
23,6,2,1,30,15,神影：光明的对立面是黑暗，而有光明的地方就有黑暗。,150,7,虚空之桥,41015,17
24,6,3,1,0,15,亚瑟之魂：我的剑已经在石头里太久了，拔出来还得磨，算了还是用斧头吧。,60,7,王者之墓,41016,6
25,7,1,3,40,0,招募冒险者,0,7,时空裂痕,41019,18
26,7,2,1,30,15,飞龙：虽然我很脆弱，但是我跑的快呀，额，是飞的快，可以打农民还可以变螃蟹。,150,7,星际之门,41019,19
27,7,3,1,0,15,巨蜥：大猩猩的味道不错，你们要尝尝吗？那只小猩猩是开挂了吗？,60,7,地底世界,41020,6
