ID,佣兵池ID,佣兵ID,抽取几率(100倍),佣兵上阵次数
number,number,number,number,number
ID,pool_id,template_id,chance,battle_num
1,1,11100005,1111,1
2,1,11100023,1111,1
3,1,13100004,1111,1
4,1,13100006,1111,1
5,1,15100007,1111,1
6,1,15100008,1111,1
7,1,16100004,1111,1
8,1,16100008,1111,1
9,1,16100012,1111,1
10,1,11100020,526,1
11,1,11100036,526,1
12,1,15100010,526,1
13,1,17100001,526,1
14,1,17100002,526,1
15,1,17100009,526,1
16,1,17100010,526,1
17,1,17100012,526,1
18,1,17100015,526,1
19,1,17100016,526,1
20,1,17100023,526,1
21,1,17100025,526,1
22,1,17100029,526,1
23,1,17100030,526,1
24,1,17100031,526,1
25,1,17100032,526,1
26,1,17100033,526,1
27,1,17100036,526,1
28,1,17100037,526,1
29,1,11100035,555,1
30,1,18100001,555,1
31,1,18100005,555,1
32,1,18100006,555,1
33,1,18100007,555,1
34,1,18100021,555,1
35,1,18100026,555,1
36,1,18100029,555,1
37,1,18100030,555,1
38,1,18100032,555,1
39,1,18100033,555,1
40,1,18100038,555,1
41,1,18100039,555,1
42,1,18100040,555,1
43,1,18100042,555,1
44,1,18100043,555,1
45,1,18100045,555,1
46,1,18100069,555,1
47,1,19100001,588,1
48,1,19100004,588,1
49,1,19100005,588,1
50,1,19100008,588,1
51,1,19100010,588,1
52,1,19100012,588,1
53,1,19100017,588,1
54,1,19100018,588,1
55,1,19100024,588,1
56,1,19100033,588,1
57,1,19100037,588,1
58,1,19100045,588,1
59,1,19100087,588,1
60,1,19100091,588,1
61,1,19100109,588,1
62,1,19100125,588,1
63,1,19100154,588,1
64,1,11100006,5000,1
65,1,13100013,5000,1
66,1,19100002,500,1
67,1,19100009,500,1
68,1,19100015,500,1
69,1,19100020,500,1
70,1,19100028,500,1
71,1,19100029,500,1
72,1,19100030,500,1
73,1,19100039,500,1
74,1,19100047,500,1
75,1,19100055,500,1
76,1,19100057,500,1
77,1,19100096,500,1
78,1,19100118,500,1
79,1,19100135,500,1
80,1,19100138,500,1
81,1,19100139,500,1
82,1,19100150,500,1
83,1,19100153,500,1
84,1,19100165,500,1
85,1,19100174,500,1
86,1,11100022,1428,1
87,1,11100030,1428,1
88,1,12100007,1428,1
89,1,15100005,1428,1
90,1,15100012,1428,1
91,1,16100002,1428,1
92,1,16100003,1428,1
93,1,19100013,587,1
94,1,19100036,587,1
95,1,19100042,587,1
96,1,19100051,587,1
97,1,19100067,587,1
98,1,19100085,587,1
99,1,19100089,587,1
100,1,19100104,587,1
101,1,19100105,587,1
102,1,19100106,587,1
103,1,19100117,587,1
104,1,19100123,587,1
105,1,19100140,587,1
106,1,19100144,587,1
107,1,19100145,587,1
108,1,19100160,587,1
109,1,19100197,587,1
110,1,17100038,1666,1
111,1,18100066,1666,1
112,1,19100058,1666,1
113,1,19100162,1666,1
114,1,19100092,1666,1
115,1,19100165,1666,1
116,1,19100152,555,1
117,1,19100193,555,1
118,1,19100219,555,1
119,1,19100206,555,1
120,1,19100209,555,1
121,1,19100175,555,1
122,1,19100245,555,1
123,1,19100248,555,1
124,1,19100244,555,1
125,1,19100180,555,1
126,1,19100200,555,1
127,1,19100246,555,1
128,1,19100056,555,1
129,1,19100182,555,1
130,1,19100191,555,1
131,1,19100221,555,1
132,1,19100238,555,1
133,1,19100247,555,1
134,1,18100040,2500,1
135,1,18100022,2500,1
136,1,19100024,2500,1
137,1,19100028,2500,1
138,1,19100114,1428,1
139,1,19100178,1428,1
140,1,19100040,1428,1
141,1,19100046,1428,1
142,1,19100076,1428,1
143,1,19100191,1428,1
144,1,19100034,1428,1
145,2,11100005,2222,1
146,2,11100023,2222,1
147,2,13100004,2222,1
