ID,宿命武器编号,宿命武器名称,宿命星级,增加战力,附带技能,消耗资源id,消耗数量,消耗资源增加祝福值,暴击率（万分率）,暴击增加祝福值,祝福值min升星成功,祝福值max升星成功,祝福值达到min后的成功率,祝福值上限,可激活的皮肤
number,number,string,number,number,number,number,number,number,number,number,number,number,number,number,string
ID,weapon_id,name,level,add_bp,skill_id,cost_id,cost_num,get_exp,crit_probability,crit_get_exp,suc_min_exp,suc_max_exp,success_probability,show_max_exp,reward_leader_mercenary_id
1,1,宿命崩山之槌,0,0,1200032,92,2,1,2500,3,20,20,10000,20,
2,1,宿命崩山之槌,1,15000,1200032,92,2,1,2500,3,27,27,10000,27,
3,1,宿命崩山之槌,2,35000,1200032,92,2,1,2500,3,33,33,10000,33,
4,1,宿命崩山之槌,3,60000,1200032,92,2,1,2500,3,40,40,10000,40,
5,1,宿命崩山之槌,4,90000,1200123,92,2,1,2500,3,46,46,10000,46,
6,1,宿命崩山之槌,5,125000,1200123,92,3,1,2500,3,35,35,10000,35,
7,1,宿命崩山之槌,6,165000,1200123,92,3,1,2500,3,40,40,10000,40,
8,1,宿命崩山之槌,7,210000,1200123,92,3,1,2500,3,44,44,10000,44,
9,1,宿命崩山之槌,8,260000,1200124,92,3,1,2500,3,49,49,10000,49,
10,1,宿命崩山之槌,9,315000,1200124,92,3,1,2500,3,53,53,10000,53,
11,1,宿命崩山之槌,10,375000,1200124,92,3,1,2500,3,57,57,10000,57,
12,1,宿命崩山之槌,11,440000,1200124,92,3,1,2500,3,62,62,10000,62,
13,1,宿命崩山之槌,12,510000,1200125,0,0,0,0,0,0,0,0,0,
14,2,宿命锻铁之锤,0,0,1400005,92,2,1,2500,3,20,20,10000,20,
15,2,宿命锻铁之锤,1,15000,1400005,92,2,1,2500,3,27,27,10000,27,
16,2,宿命锻铁之锤,2,35000,1400005,92,2,1,2500,3,33,33,10000,33,
17,2,宿命锻铁之锤,3,60000,1400005,92,2,1,2500,3,40,40,10000,40,
18,2,宿命锻铁之锤,4,90000,1400036,92,2,1,2500,3,46,46,10000,46,
19,2,宿命锻铁之锤,5,125000,1400036,92,3,1,2500,3,35,35,10000,35,
20,2,宿命锻铁之锤,6,165000,1400036,92,3,1,2500,3,40,40,10000,40,
21,2,宿命锻铁之锤,7,210000,1400036,92,3,1,2500,3,44,44,10000,44,
22,2,宿命锻铁之锤,8,260000,1400037,92,3,1,2500,3,49,49,10000,49,
23,2,宿命锻铁之锤,9,315000,1400037,92,3,1,2500,3,53,53,10000,53,
