ID,区域名字,描述,战力限制,图标,位置坐标类型,简单难度掉落,普通,困难
number,string,string,number,string,number,string,string,string
ID,name,desc,bp_limit,icon,maze_position,easy_loot,normal_loot,hard_loot
1,歌舞伎町东,歌舞伎町——这条被四大天王所统治的街道，夜复一夜上演着爱恨情仇，歌舞伎町东，今夜也是一样的不平静。,0,bg/mapbg/mapbg_aircity.png,1,18000021|19000007|19000020,,
2,歌舞伎町西,这里是歌舞伎町西，充斥着流浪汉、醉鬼、妓女的不眠之街。这里可能是全日本晚上最热闹最混乱的地方,250,bg/mapbg/mapbg_angel.png,2,18000021|19000007|19000020,,
3,三国幻想域,苍茫大地，谁主沉浮，三国时期，群雄并起。苍生与天下的抉择，忠心与霸业的斗争，这里是三国之城。,1000,bg/mapbg/mapbg_cave.png,3,18000027|18000032|18000034,,
4,忍者村,这是一个神秘而孤独的村落，住着一群特殊的人。他们隐姓埋名，与黑暗为伍，苦练忍术，来去如风，不留下只言片语。,2400,bg/mapbg/mapbg_ether.png,2,17000006|18000042|19000054,,
5,魔王城,黑夜是他们的披风，魔龙是他们的同伴。带着称霸天下的决意，千军万马整装待发，只待他们的一个眼神，一个手势。,6000,bg/mapbg/mapbg_fort.png,1,18000017|19000033|19000037,,
6,咒泉乡,咒泉乡，这里有大小100眼以上的泉水。每一眼泉水都有一个传说，据说掉入泉中的人，都会变成最初溺死者的模样。,11000,bg/mapbg/mapbg_fight.png,2,17000022|18000015|18000016,,
7,关西,走过大阪，走过京都，走过神户，在这个魑魅魍魉横行跋扈的地方，青年一路斩妖除魔，脚步不曾停止。,16500,bg/mapbg/mapbg_forest.png,3,18000043|18000044|18000045,19000055|19000025|19000009,
8,关东,八重樱开的正好，纷纷扬扬的樱花瓣在空中飞舞盘旋，落在武士们的头上，身形一晃，又落在了彼此的剑尖。,35000,bg/mapbg/mapbg_iceberg.png,2,18000043|18000044|18000045,19000055|19000025|19000009,
9,圣杯战场,每60年一次，圣杯降世，传说圣杯的力量将会实现任何愿望。为追求圣杯，英灵重现，魔术师斗争，硝烟再起。,51000,bg/mapbg/mapbg_mountain.png,1,18000002|18000003|18000037,18000003|18000037|19000042,
10,月世界,沙尘弥漫，刀光剑影，骑着战马的战士挥舞长剑和长矛，赌上自己的性命和荣誉相互厮杀。,68000,bg/mapbg/mapbg_city.png,2,18000002|18000003|18000037,18000003|18000037|19000042,
11,冰火中土大陆,这里有不可一世的力量，也有神秘莫测的魔法，更有力挽狂澜的孤胆英雄。凛冬将至，烈火燎原，听我怒吼，群雄争霸。,95000,bg/mapbg/mapbg_ruins.png,3,18000020|18000028|18000031,18000031|19000028|19000029,
12,超能力学园,你相信吗，每个人都有超能力，静静地沉睡在身体的某个角落，等待被唤醒。需要时释放，使精神和肉体获得提升。,125000,bg/mapbg/mapbg_oasis.png,2,11000031|16000009|17000023,16000009|17000023|19000005,
13,海市蜃楼,海旁蜃气象楼台，广野气成宫阙然。在这里你可以遇见一些你想见而见不到的人，但是也可能见到不想见到的人。,160000,bg/mapbg/mapbg_mountain.png,2,16000009|17000023|19000005,17000023|19000005|19000011,19000005|19000011|19000033
14,大不列颠,上天注定的伟大国王，以及他麾下那些强大而忠诚的骑士。为大不列颠洒下热血，用实力书写传奇。,200000,bg/mapbg/mapbg_path.png,1,18000005|18000006|18000007,18000005|18000006|18000007,18000006|18000007|19000001
15,墙内世界,面临人类的天敌“巨人”，残存下来的人类盖起三重巨大城墙，在隔绝的环境里享受了一百多年的和平，然而……,245000,bg/mapbg/mapbg_plain.png,2,11000032|11000031|18000039,11000032|11000031|18000039,11000031|18000039|19000045
16,动物乐园,这里是由冒险与挖坑培训中心开发建设的大型野生动物乐园。据说这里的动物脾气很大，在这里还是小心点好，不然会被他们咬到屁股。,295000,bg/mapbg/mapbg_iceberg.png,1,12000003|18000003|18000012,18000003|18000012|18000031,18000012|18000031|18000030
17,传说国度,春秋末年，吴楚征战，天下大乱。在此偶遇周游列国的旅人，吟诵对人生的思考，深化精神世界之力。,345000,bg/mapbg/mapbg_relic.png,3,11000032|11000031|19000049,11000032|11000031|19000049,11000032|11000031|19000049
18,流月星宫,位于沙漠上空，宫中终日如夜，遍布星光，故而名之流月星宫。在这座神秘的宫殿中可以见到一些会奇特术法的外国人。,400000,bg/mapbg/mapbg_fight.png,1,17000007|17000009|19000003,17000007|17000009|19000004,17000007|19000003|19000004
19,大话幻境,我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是这结局会是……,460000,bg/mapbg/mapbg_spring.png,2,11000031|18000041|18000040,18000041|18000040|19000047,19000047|19000014|19000012
