ID,层数,是否可以重复,CD时间,怪物组,奖励赛点,奖励经验,合战关卡标题,合战关卡描述
number,number,boolean,number,number,number,number,string,string
ID,level,is_repeat,cd_time,monster_id,reward_score,reward_exp,title,desc
1,1,1,300,400001,10,10,合战1回合,作为赛季的守关“BOSS”，三喵军团就像往常一样看起来不可战胜。
2,2,1,300,400002,12,12,合战2回合,什么？连这样的队伍也来参加赛季了吗？？
3,3,1,300,400003,14,14,合战3回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
4,4,1,300,400004,16,16,合战4回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
5,5,0,300,400005,50,50,合战5回合,一个绿色的巨魔朝着你怒吼咆哮，合战到底是如何请到了这样的怪物呢……
6,6,1,300,400006,20,20,合战6回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
7,7,1,300,400007,22,22,合战7回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
8,8,1,300,400008,24,24,合战8回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
9,9,1,300,400009,28,28,合战9回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
10,10,0,300,400010,50,50,合战10回合,据说这里是挑战者从未通过的管卡，你是否可以顺利击败这条绿色的大蜥蜴呢？
11,11,1,300,400011,30,30,合战11回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
12,12,1,300,400012,32,32,合战12回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
13,13,1,300,400013,34,34,合战13回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
14,14,1,300,400014,38,38,合战14回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
15,15,0,300,400015,60,50,合战15回合,以太军团再次登场！……据说他们的真身是与开发部交好的热心玩家。
16,16,1,300,400016,40,40,合战16回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
17,17,1,300,400017,42,42,合战17回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
18,18,1,300,400018,44,44,合战18回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
19,19,1,300,400019,48,48,合战19回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
20,20,0,300,400020,80,50,合战20回合,杀死了无数挑战者的可怕生物，听说他的凝视可以使你的队伍变的如同傻子一般……
21,21,1,300,400021,52,52,合战21回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
22,22,1,300,400022,54,54,合战22回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
23,23,1,300,400023,56,56,合战23回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
24,24,1,300,400024,58,58,合战24回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
25,25,0,300,400025,100,70,合战25回合,你不可能不记得我吧？挑战者！这次我不会输了。
26,26,1,300,400026,60,60,合战26回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
27,27,1,300,400027,62,62,合战27回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
28,28,1,300,400028,64,64,合战28回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
29,29,1,300,400029,70,70,合战29回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
30,30,0,300,400030,200,100,合战30回合,虽然我后面还有更强的高手，但是你先过了我这一关再说吧！
31,31,1,300,400026,72,72,合战31回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
32,32,1,300,400027,74,74,合战32回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
33,33,1,300,400028,76,76,合战33回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
34,34,1,300,400029,78,78,合战34回合,合战的守护者威严的战力在那里，你究竟能走多远呢？
35,35,0,300,400030,250,150,合战35回合,终于来到了合战的最终战了！
