,签订契约数,契约说明,基础战力,先攻等级,防御等级,闪避等级,王者等级
number,number,string,number,number,number,number,number
ID,num,desc,bp,speed,defense,dodge,authority
1,1,你再签订%d个契约就可以获得基础战力增加1000的效果,1000,0,0,0,0
2,2,你再签订%d个契约就可以获得基础战力增加3000的效果,4000,0,0,0,0
3,3,你再签订%d个契约就可以获得先攻等级增加2的效果,4000,2,0,0,0
4,4,你再签订%d个契约就可以获得防御等级增加2的效果,4000,2,2,0,0
5,5,你再签订%d个契约就可以获得闪避等级增加2的效果,4000,2,2,2,0
6,6,你再签订%d个契约就可以获得王者等级增加1的效果,4000,2,2,2,1
7,8,你再签订%d个契约就可以获得基础战力增加10000的效果,14000,2,2,2,1
8,10,你再签订%d个契约就可以获得王者等级增加1的效果,14000,2,2,2,2
9,12,你再签订%d个契约就可以获得先攻等级增加3的效果,14000,5,2,2,2
10,14,你再签订%d个契约就可以获得防御等级增加3的效果,14000,5,5,2,2
11,16,你再签订%d个契约就可以获得闪避等级增加3的效果,14000,5,5,5,2
12,18,你再签订%d个契约就可以获得闪避等级增加2，王者等级增加1的效果,14000,5,5,7,3
13,20,你再签订%d个契约就可以获得先攻等级增加2，王者等级增加1的效果,14000,7,5,7,4
14,22,你再签订%d个契约就可以获得防御等级增加2，王者等级增加1的效果,14000,7,7,7,5
15,25,你再签订%d个契约就可以获得闪避等级增加3，王者等级增加2的效果,14000,7,7,10,7
16,28,你再签订%d个契约就可以获得先攻等级增加3，王者等级增加2的效果,14000,10,7,10,9
17,31,你再签订%d个契约就可以获得防御等级增加3，王者等级增加2的效果,14000,10,10,10,11
18,34,你再签订%d个契约就可以获得基础战力增加40000的效果,54000,10,10,10,11
19,37,你再签订%d个契约就可以获得闪避等级增加5，王者等级增加3的效果,54000,10,10,15,14
20,40,你再签订%d个契约就可以获得先攻等级增加5，王者等级增加3的效果,54000,15,10,15,17
21,43,你再签订%d个契约就可以获得防御等级增加5，王者等级增加3的效果,54000,15,15,15,20
22,50,你再签订%d个契约就可以获得王者等级增加5的效果,54000,15,15,15,25
