ID,技能名,描述,技能效果,参数L1,参数L2,参数L3,职业,性别,种族,堆叠限制
number,string,string,number,number,number,number,number,number,number,number
ID,name,desc,effect_type,param1,param2,param3,job,sex,race,stack_limit
300001,守护之力,防御等级提高5,2,5,,,,,,
300002,坚固,防御等级提高6,2,6,,,,,,
300003,完美服务,一切都井井有条，你啥也不用管了。防御等级提高7,2,7,,,,,,
300004,沉默,沉默是一种力量，防御等级提高5,2,5,,,,,,
300005,大盾,防御等级提高8,2,8,,,,,,
300006,元素坚固,防御等级提高5,2,5,,,,,,
300007,光之守护,防御等级提高7,2,7,,,,,,
300008,魔化觉醒,防御等级提高7,2,7,,,,,,
300009,风王之铠,防御等级提高16,2,16,,,,,,
300010,无畏防御,防御等级提高11,2,11,,,,,,
300011,王之领域,防御等级提高13,2,13,,,,,,
300012,无坚不摧,防御等级提高9,2,9,,,,,,
300013,冰封防御,防御等级提高9,2,9,,,,,,
300014,坚钢护甲,防御等级提高11,2,11,,,,,,
300015,狮盔剑神,防御等级提高10,2,10,,,,,,
300016,五虎上将,防御等级提高12,2,12,,,,,,
300017,请叫我女王,防御等级提高4，闪避等级提高4,2,4,,,,,,
300018,遗志,防御等级提高10,2,10,,,,,,
300019,止战之殇,,2,-15,,,,,,
300020,一路向西,,2,-16,,,,,,
300021,降妖伏魔铲,防御等级提高10,2,10,,,,,,
300022,常高院,防御等级提高3,2,3,,,,,,
300023,领袖庇护,场上每有一个鸡星人防御等级提高2，至多提高22。,2,2,,,,,14,22
300024,魔女猎杀II,场上每有一个女性学生，先攻等级提高2，防御等级降低1,2,-1,,,101,3,,999
300025,斯巴达盾列,场上每有一个斯巴达，防御等级提高3，至多提高25,2,3,,,129,,,25
300026,左右互博III,,2,-15,,,,,,
300027,薄弱,防御等级降低3,2,-3,,,,,,
300028,黑王子,防御等级提高8，闪避等级提高8,2,8,,,,,,
300029,白马王子,防御等级提高13，先攻等级减低4,2,13,,,,,,
300030,怒火激将2,,2,-40,,,,,,
300031,首席,防御等级提高13，闪避等级提高3,2,13,,,,,,
300032,王母之怒,,2,-17,,,,,,
300033,走单骑,,2,4,,,,,,
300034,霸王色霸气,,2,-5,,,,,,
300035,三宝,,2,15,,,,,,
300036,魔戒再临,,2,18,,,,,,
300037,俘虏之箭,场上每有一个男性，王者等级提高2，闪避等级减低2，王者等级最多提高14。,2,-2,,,,2,,
300038,寒冰之力,防御等级提高20,2,20,,,,,,
300039,BKB,防御等级提高10。你每拥有60防御等级增加1王者等级。,2,10,,,,,,
300040,斯巴达之魂,先攻等级提高4，防御等级降低4，王者等级提高2。,2,-4,,,,,,
300041,小白狼之爱,防御等级提高3，王者等级提高2,2,3,,,,,,
