ID,名称,色彩渐入时间,色彩渐出时间,目标色彩,色彩透明度,图渐入时间,图等待,图渐出时间,中心图,图的透明度
number,string,number,number,string,number,number,number,number,string,number
ID,name,color_fade_in_time,color_fade_out_time,target_color,color_alpha,pic_fade_in_time,pic_wait_time,pic_fade_out_time,center_pic,pic_alpha
100001,变黑,800,800,0x000000,0.7,,,,,
100002,变红,800,800,0xff0000,0.6,,,,,
100003,变黄,800,800,0xffff00,0.5,,,,,
100004,变紫,800,800,0xae00ff,0.6,,,,,
100005,变绿,800,800,0x18981e,0.6,,,,,
100006,王选之刃,600,800,0xffff00,0.5,,,,,
100007,帝国之握,600,800,0x000000,0.7,,,,,
100008,灭世一刀斩,600,800,0x000000,0.7,,,,,
100009,永远的万事屋,600,800,0x000000,0.7,,,,,
100010,无刀取,600,800,0x000000,0.7,,,,,
100011,天下布武,600,800,0x000000,0.7,,,,,
100012,大略暴风雨,600,800,0x000000,0.7,,,,,
100013,诸神黄昏,600,800,0xff0000,0.6,,,,,
100014,染血之瞳,600,800,0xff0000,0.6,,,,,
100015,赫格尼之剑,600,800,0xff0000,0.6,,,,,
100016,契约之咏唱,600,800,0xffff00,0.5,,,,,
100017,扭曲虚空,600,800,0xae00ff,0.6,,,,,
100018,真·大神无双,800,800,0x000000,0.7,,,,,
100019,天之怒雷,800,800,0x000000,0.7,,,,,
100020,奥丁铁剑,800,800,0x000000,0.7,,,,,
100021,真理田园,800,800,0x000000,0.7,,,,,
100022,上古神秘之力,800,800,0xffff00,0.5,,,,,
100023,大炎法华,800,800,0xff0000,0.6,,,,,
100024,核爆,800,800,0xff0000,0.6,,,,,
100025,虎手龙卷,800,800,0x000000,0.7,,,,,
100026,拂晓神剑,800,800,0xae00ff,0.6,,,,,
100027,末日龙炎,800,800,0x000000,0.7,,,,,
100028,魂之万事屋,800,800,0x000000,0.7,,,,,
100029,大夜场,800,800,0x000000,0.7,,,,,
100030,光之降临,800,800,0x000000,0.7,,,,,
100031,汤圆之力,800,800,0xffff00,0.5,,,,,
100032,王之理想乡,800,800,0xff0000,0.6,,,,,
100033,永恒之息,800,800,0x000000,0.7,,,,,
100034,鸡王之王,800,800,0xff0000,0.6,,,,,
100035,魔古尔之剑,800,800,0x000000,0.7,,,,,
100036,怒火激将,800,800,0xff0000,0.6,,,,,
100037,世界大战,800,800,0x000000,0.7,,,,,
100038,真·世界大战,800,800,0x000000,0.7,,,,,
100039,不死魔女,800,800,0xffff00,0.5,,,,,
100040,笤帚乱舞,800,800,0xae00ff,0.6,,,,,
100041,王之力,800,800,0x000000,0.7,,,,,
100042,镇魂曲,800,800,0x000000,0.7,,,,,
100043,时间溯行,800,800,0x000000,0.7,,,,,
100044,森林,800,800,0x18981e,0.6,,,,,
100045,变身,800,800,0x000000,0.7,,,,,
100046,无限剑制,800,800,0x000000,0.7,,,,,
100047,誓约胜利之剑,800,800,0xffff00,0.5,,,,,
100048,写轮眼,800,800,0x000000,0.7,,,,,
100049,门徒遍地,800,800,0xffff00,0.5,,,,,
100050,化身亿万,800,800,0xffff00,0.5,,,,,
100051,影分身,800,800,0xae00ff,0.6,,,,,
100052,刀狩令,800,800,0x000000,0.7,,,,,
100053,两兵卫的谋略,800,800,0xae00ff,0.6,,,,,
100054,电磁炮,800,800,0x000000,0.7,,,,,
100055,死神镰刀,800,800,0x000000,0.7,,,,,
100056,三连旋转机枪,800,800,0x000000,0.7,,,,,
100057,万花筒写轮眼,800,800,0x000000,0.7,,,,,
100058,圣诞快乐,800,800,0xff0000,0.6,,,,,
100059,上帝呢喃,800,800,0x000000,0.7,,,,,
100060,萌射长弓,800,800,0x000000,0.7,,,,,
100061,逆转红莲,800,800,0xff0000,0.6,,,,,
100062,命运劫持,800,800,0x000000,0.7,,,,,
100063,热浪,800,800,0xff0000,0.6,,,,,
100064,烈焰帷幕,800,800,0xff0000,0.6,,,,,
100065,斯巴达狂热,800,800,0xffff00,0.5,,,,,
100066,三羊开泰,800,800,0xff0000,0.6,,,,,
100067,八稚女,800,800,0x000000,0.7,,,,,
100068,真八稚女,800,800,0x000000,0.7,,,,,
100069,大蛇薙,800,800,0x000000,0.7,,,,,
100070,真大蛇薙,800,800,0x000000,0.7,,,,,
100071,大蛇之灭,800,800,0x000000,0.7,,,,,
100072,大蛇之荒,800,800,0x000000,0.7,,,,,
100073,王之军势,800,800,0xff0000,0.6,,,,,
100074,升级,800,800,0xffff00,0.5,,,,,
100075,九阴真经,800,800,0xffff00,0.5,,,,,
