ID,区域ID,难度,经验收益,金钱收益,额外经验上限,额外金钱上限
number,number,number,number,number,number,number
ID,area_id,difficulty,exp,gold_coin,extra_exp,extra_gold_coin
1,1,1,2,1,6480,2592
2,2,1,5,2,16848,6480
3,3,1,9,3,26352,9936
4,4,1,13,5,40608,16848
5,5,1,17,8,50976,25920
6,6,1,27,14,83376,43200
7,7,1,34,16,104544,49248
8,8,1,43,18,133920,54000
9,9,1,47,25,143856,77760
10,10,1,99,64,304128,196128
11,11,1,130,85,399600,263520
12,12,1,137,94,422280,290088
13,13,1,144,103,444960,316656
14,14,1,155,111,477360,343440
15,15,1,198,135,612360,415584
16,16,1,242,158,747360,487728
17,17,1,312,193,963360,594864
18,18,1,382,227,1179360,702000
19,19,1,403,236,1244160,729000
20,20,1,424,245,1308960,756000
21,21,1,466,267,1438560,822960
22,22,1,476,286,1467720,882360
23,23,1,485,305,1496880,941760
24,24,1,595,472,1834704,1456704
25,25,1,704,639,2172528,1971648
26,26,1,721,657,2224800,2026080
27,27,1,730,665,2251800,2053080
28,28,1,739,674,2278800,2080080
29,29,1,747,687,2305800,2118960
30,30,1,756,699,2332800,2157840
31,31,1,765,699,2359800,2157840
32,32,1,774,699,2386800,2157840
33,33,1,809,699,2494800,2157840
34,34,1,840,721,2592000,2224800
35,35,1,840,761,2592000,2347920
36,36,1,872,836,2691360,2580120
37,37,1,904,911,2790720,2812320
38,38,1,952,978,2937600,3017520
39,39,1,987,1016,3045600,3136320
40,40,1,1022,1055,3153600,3255120
41,41,1,1040,1074,3207600,3314520
42,42,1,1057,1093,3261600,3373920
43,43,1,1092,1132,3369600,3492720
44,44,1,1110,1151,3423600,3552120
45,45,1,1127,1170,3477600,3611520
46,46,1,1145,1190,3531600,3670920
47,47,1,1162,1209,3585600,3730320
48,48,1,1180,1228,3639600,3789720
49,49,1,1197,1247,3693600,3849120
50,50,1,1232,1286,3801600,3967920
51,7,2,37,18,114998,54173
52,8,2,47,20,147312,59400
53,9,2,52,28,158242,85536
54,10,2,109,70,334541,215741
55,11,2,143,94,439560,289872
56,12,2,151,103,464508,319097
57,13,2,158,113,489456,348322
58,14,2,171,122,525096,377784
59,15,2,218,149,673596,457142
60,16,2,266,174,822096,536501
61,17,2,343,212,1059696,654350
62,18,2,420,250,1297296,772200
63,19,2,443,260,1368576,801900
64,20,2,466,270,1439856,831600
65,21,2,513,294,1582416,905256
66,22,2,524,315,1614492,970596
67,23,2,534,336,1646568,1035936
68,24,2,655,519,2018174,1602374
69,25,2,774,703,2389781,2168813
70,26,2,793,723,2447280,2228688
71,27,2,803,732,2476980,2258388
72,28,2,813,741,2506680,2288088
73,29,2,822,756,2536380,2330856
74,30,2,832,769,2566080,2373624
75,31,2,842,769,2595780,2373624
76,32,2,851,769,2625480,2373624
77,33,2,890,769,2744280,2373624
78,34,2,924,793,2851200,2447280
79,35,2,924,837,2851200,2582712
80,36,2,959,920,2960496,2838132
81,37,2,994,1002,3069792,3093552
82,38,2,1047,1076,3231360,3319272
83,39,2,1086,1118,3350160,3449952
84,40,2,1124,1161,3468960,3580632
85,41,2,1144,1181,3528360,3645972
86,42,2,1163,1202,3587760,3711312
87,43,2,1201,1245,3706560,3841992
88,44,2,1221,1266,3765960,3907332
89,45,2,1240,1287,3825360,3972672
90,46,2,1260,1309,3884760,4038012
91,47,2,1278,1330,3944160,4103352
92,48,2,1298,1351,4003560,4168692
93,49,2,1317,1372,4062960,4234032
94,50,2,1355,1415,4181760,4364712
95,13,3,174,124,538402,383154
96,14,3,188,134,577606,415562
97,15,3,240,164,740956,502856
98,16,3,293,191,904306,590151
99,17,3,377,233,1165666,719785
100,18,3,462,275,1427026,849420
101,19,3,487,286,1505434,882090
102,20,3,513,297,1583842,914760
103,21,3,564,323,1740658,995782
104,22,3,576,347,1775941,1067656
105,23,3,587,370,1811225,1139530
106,24,3,721,571,2219991,1762611
107,25,3,851,773,2628759,2385694
108,26,3,872,795,2692008,2451557
109,27,3,883,805,2724678,2484227
110,28,3,894,815,2757348,2516897
111,29,3,904,832,2790018,2563942
112,30,3,915,846,2822688,2610986
113,31,3,926,846,2855358,2610986
114,32,3,936,846,2888028,2610986
115,33,3,979,846,3018708,2610986
116,34,3,1016,872,3136320,2692008
117,35,3,1016,921,3136320,2840983
118,36,3,1055,1012,3256546,3121945
119,37,3,1093,1102,3376771,3402907
120,38,3,1152,1184,3554496,3651199
121,39,3,1195,1230,3685176,3794947
122,40,3,1236,1277,3815856,3938695
123,41,3,1258,1299,3881196,4010569
124,42,3,1279,1322,3946536,4082443
125,43,3,1321,1370,4077216,4226191
126,44,3,1343,1393,4142556,4298065
127,45,3,1364,1416,4207896,4369939
128,46,3,1386,1440,4273236,4441813
129,47,3,1406,1463,4338576,4513687
130,48,3,1428,1486,4403916,4585561
131,49,3,1449,1509,4469256,4657435
132,50,3,1491,1557,4599936,4801183
133,51,1,1250,1305,3855600,4026240
134,51,2,1369,1429,4221882,4408733
135,51,3,1499,1565,4622961,4827563
136,52,1,1267,1324,3909600,4086720
137,52,2,1387,1450,4281012,4474958
138,52,3,1519,1588,4687708,4900079
139,53,1,1285,1348,3963600,4158000
140,53,2,1401,1469,4320324,4532220
141,53,3,1527,1601,4709153,4940120
142,54,1,1302,1365,4017600,4212000
143,54,2,1413,1481,4359096,4570020
144,54,3,1533,1607,4729619,4958472
145,55,1,1323,1383,4082400,4266000
146,55,2,1429,1494,4408992,4607280
147,55,3,1543,1614,4761711,4975862
148,56,1,1336,1397,4123224,4308660
149,56,2,1443,1509,4453082,4653353
150,56,3,1558,1630,4809328,5025621
151,57,1,1349,1411,4164456,4351747
152,57,2,1457,1524,4497613,4699887
153,57,3,1574,1646,4857421,5075877
154,58,1,1362,1425,4206101,4395264
155,58,2,1472,1539,4542589,4746886
156,58,3,1590,1662,4905995,5126636
157,59,1,1376,1439,4248162,4439217
158,59,2,1487,1554,4588015,4794355
159,59,3,1606,1679,4955055,5177902
160,60,1,1390,1453,4290644,4483609
161,60,2,1502,1570,4633895,4842299
162,60,3,1622,1696,5004606,5229681
163,61,1,1400,1465,4320000,4520571
164,61,2,1512,1582,4665600,4881600
165,61,3,1633,1709,5038971,5273486
166,62,1,1410,1477,4350857,4557600
167,62,2,1520,1592,4690286,4912457
168,62,3,1639,1716,5057486,5295086
169,63,1,1419,1499,4378629,4625486
170,63,2,1533,1619,4730400,4995771
171,63,3,1656,1749,5109943,5396914
172,64,1,1421,1500,4384800,4628571
173,64,2,1535,1620,4736571,4998857
174,64,3,1658,1750,5116114,5400000
175,65,1,1425,1505,4397143,4644000
176,65,2,1539,1625,4748914,5014286
177,65,3,1662,1755,5128457,5415429
