ID,背包级别,背包格子上限,铜,锡,铁,银,黄金,钻石,红宝石,紫宝石,绿宝石,黄宝石
number,number,number,number,number,number,number,number,number,number,number,number,number
ID,level,capacity,copper,tin,iron,silver,gold,diamond,ruby,purple_gem,emerald,topaz
1,1,7,1,0,0,0,0,0,0,0,0,0
2,2,9,2,0,0,0,0,0,0,0,0,0
3,3,11,3,0,0,0,0,0,0,0,0,0
4,4,13,4,0,0,0,0,0,0,0,0,0
5,5,15,5,0,0,0,0,0,0,0,0,0
6,6,17,6,1,0,0,0,0,0,0,0,0
7,7,19,7,2,0,0,0,0,0,0,0,0
8,8,21,8,3,0,0,0,0,0,0,0,0
9,9,23,9,4,0,0,0,0,0,0,0,0
10,10,25,10,5,0,0,0,0,0,0,0,0
11,11,28,0,6,1,0,0,0,1,0,0,0
12,12,31,0,7,2,0,0,0,1,0,0,0
13,13,34,0,8,3,0,0,0,1,0,0,0
14,14,37,0,9,4,0,0,0,1,0,0,0
15,15,40,0,10,5,0,0,0,1,0,0,0
16,16,43,0,0,6,1,0,0,1,1,0,0
17,17,46,0,0,7,2,0,0,1,1,0,0
18,18,49,0,0,8,3,0,0,1,1,0,0
19,19,52,0,0,9,4,0,0,1,1,0,0
20,20,55,0,0,10,5,0,0,1,1,0,0
21,21,58,0,0,0,6,1,0,0,1,1,0
22,22,61,0,0,0,7,2,0,0,1,1,0
23,23,64,0,0,0,8,3,0,0,1,1,0
24,24,67,0,0,0,9,4,0,0,1,1,0
25,25,70,0,0,0,10,5,0,0,1,1,0
26,26,73,0,0,0,0,6,1,0,0,1,1
27,27,76,0,0,0,0,7,2,0,0,1,1
28,28,79,0,0,0,0,8,3,0,0,1,1
29,29,82,0,0,0,0,9,4,0,0,1,1
30,30,86,0,0,0,0,10,5,0,0,1,1
31,31,90,0,0,0,0,0,6,0,0,0,1
32,32,94,0,0,0,0,0,7,0,0,0,1
33,33,100,0,0,0,0,0,8,0,0,0,1
34,34,102,1,1,1,1,1,1,1,1,1,1
