ID,祈祷转化参数,炼金转化参数,灵魂碎片,灵魂碎片,灵魂碎片
number,number,number,number,number,number
ID,prayer_parameter,alchemy_parameter,soul_chip_1,soul_chip_2,soul_chip_3
1,1,1,0,0,0
2,3,3,0,0,0
3,5,5,0,0,0
4,7,7,0,0,0
5,9,9,0,0,0
6,11,11,0,0,0
7,13,13,0,0,0
8,15,15,0,0,0
9,17,17,0,0,0
10,19,19,0,0,0
11,21,21,0,0,0
12,23,23,0,0,0
13,25,25,0,0,0
14,27,27,0,0,0
15,30,30,0,0,0
16,33,33,5,10,25
17,36,36,5,10,25
18,39,39,5,10,25
19,42,42,5,10,25
20,45,45,5,10,25
21,48,48,5,10,25
22,51,51,5,10,25
23,55,55,5,10,25
24,59,59,5,10,25
25,63,63,5,10,25
26,67,67,5,10,25
27,71,71,5,10,25
28,75,75,5,10,25
29,79,79,5,10,25
30,84,84,5,10,25
31,89,89,8,15,38
32,94,94,8,15,38
33,99,99,8,15,38
34,104,104,8,15,38
35,110,110,8,15,38
36,116,116,8,15,38
37,122,122,8,15,38
38,128,128,8,15,38
39,134,134,8,15,38
40,140,140,8,15,38
41,146,146,8,15,38
42,152,152,8,15,38
43,158,158,8,15,38
44,164,164,8,15,38
45,170,170,8,15,38
46,176,176,8,15,38
47,182,182,8,15,38
48,188,188,8,15,38
49,194,194,8,15,38
50,200,200,8,15,38
51,206,206,8,15,38
52,212,212,8,15,38
53,218,218,8,15,38
54,224,224,8,15,38
55,230,230,8,15,38
56,236,236,8,15,38
57,242,242,8,15,38
58,248,248,8,15,38
59,254,254,8,15,38
60,260,260,8,15,38
61,266,266,13,25,63
62,272,272,13,25,63
63,278,278,13,25,63
64,284,284,13,25,63
65,290,290,13,25,63
66,296,296,13,25,63
67,302,302,13,25,63
68,308,308,13,25,63
69,314,314,13,25,63
70,320,320,13,25,63
71,326,326,13,25,63
72,332,332,13,25,63
73,338,338,13,25,63
74,344,344,13,25,63
75,350,350,13,25,63
76,356,356,13,25,63
77,362,362,13,25,63
78,368,368,13,25,63
79,374,374,13,25,63
80,380,380,13,25,63
81,386,386,13,25,63
82,392,392,13,25,63
83,398,398,13,25,63
84,404,404,13,25,63
85,410,410,13,25,63
86,416,416,13,25,63
87,422,422,13,25,63
88,428,428,13,25,63
89,434,434,13,25,63
90,440,440,13,25,63
91,446,446,18,35,88
92,452,452,18,35,88
93,458,458,18,35,88
94,464,464,18,35,88
95,470,470,18,35,88
96,476,476,18,35,88
97,482,482,18,35,88
98,488,488,18,35,88
99,494,494,18,35,88
100,500,500,18,35,88
101,506,506,18,35,88
102,512,512,18,35,88
103,518,518,18,35,88
104,524,524,18,35,88
105,530,530,18,35,88
106,536,536,18,35,88
107,542,542,18,35,88
108,548,548,18,35,88
109,554,554,18,35,88
110,560,560,18,35,88
111,566,566,18,35,88
112,572,572,18,35,88
113,578,578,18,35,88
114,584,584,18,35,88
115,590,590,18,35,88
116,596,596,18,35,88
117,602,602,18,35,88
118,608,608,18,35,88
119,614,614,18,35,88
120,620,620,18,35,88
121,626,626,25,50,125
122,632,632,25,50,125
123,638,638,25,50,125
124,644,644,25,50,125
125,650,650,25,50,125
126,656,656,25,50,125
127,662,662,25,50,125
128,668,668,25,50,125
129,674,674,25,50,125
130,680,680,25,50,125
131,686,686,25,50,125
132,692,692,25,50,125
133,698,698,25,50,125
134,704,704,25,50,125
135,710,710,25,50,125
136,716,716,25,50,125
137,722,722,25,50,125
138,728,728,25,50,125
139,734,734,25,50,125
140,740,740,25,50,125
141,746,746,25,50,125
142,752,752,25,50,125
143,758,758,25,50,125
144,764,764,25,50,125
145,770,770,25,50,125
146,776,776,25,50,125
147,782,782,25,50,125
148,788,788,25,50,125
149,794,794,25,50,125
150,800,800,25,50,125
151,806,806,25,50,125
152,812,812,25,50,125
153,818,818,25,50,125
154,824,824,25,50,125
155,830,830,25,50,125
156,836,836,25,50,125
157,842,842,25,50,125
158,848,848,25,50,125
159,854,854,25,50,125
160,860,860,25,50,125
161,866,866,25,50,125
162,872,872,25,50,125
163,878,878,25,50,125
164,884,884,25,50,125
165,890,890,25,50,125
166,896,896,25,50,125
167,902,902,25,50,125
168,908,908,25,50,125
169,914,914,25,50,125
170,920,920,25,50,125
171,926,926,25,50,125
172,932,932,25,50,125
173,938,938,25,50,125
174,944,944,25,50,125
175,950,950,25,50,125
176,956,956,25,50,125
177,962,962,25,50,125
178,968,968,25,50,125
179,974,974,25,50,125
180,980,980,25,50,125
181,986,986,30,60,150
182,992,992,30,60,150
183,998,998,30,60,150
184,1004,1004,30,60,150
185,1010,1010,30,60,150
186,1016,1016,30,60,150
187,1022,1022,30,60,150
188,1028,1028,30,60,150
189,1034,1034,30,60,150
190,1040,1040,30,60,150
191,1046,1046,30,60,150
192,1052,1052,30,60,150
193,1058,1058,30,60,150
194,1064,1064,30,60,150
195,1070,1070,30,60,150
196,1076,1076,30,60,150
197,1082,1082,30,60,150
198,1088,1088,30,60,150
199,1094,1094,30,60,150
200,1100,1100,30,60,150
201,1106,1106,30,60,150
202,1112,1112,30,60,150
203,1118,1118,30,60,150
204,1124,1124,30,60,150
205,1130,1130,30,60,150
206,1136,1136,30,60,150
207,1142,1142,30,60,150
208,1148,1148,30,60,150
209,1154,1154,30,60,150
210,1160,1160,30,60,150
211,1166,1166,35,70,175
212,1172,1172,35,70,175
213,1178,1178,35,70,175
214,1184,1184,35,70,175
215,1190,1190,35,70,175
216,1196,1196,35,70,175
217,1202,1202,35,70,175
218,1208,1208,35,70,175
219,1214,1214,35,70,175
220,1220,1220,35,70,175
221,1226,1226,35,70,175
222,1232,1232,35,70,175
223,1238,1238,35,70,175
224,1244,1244,35,70,175
225,1250,1250,35,70,175
226,1256,1256,35,70,175
227,1262,1262,35,70,175
228,1268,1268,35,70,175
229,1274,1274,35,70,175
230,1280,1280,35,70,175
231,1286,1286,35,70,175
232,1292,1292,35,70,175
233,1298,1298,35,70,175
234,1304,1304,35,70,175
235,1310,1310,35,70,175
236,1316,1316,35,70,175
237,1322,1322,35,70,175
238,1328,1328,35,70,175
239,1334,1334,35,70,175
240,1340,1340,35,70,175
241,1346,1346,40,80,200
242,1352,1352,40,80,200
243,1358,1358,40,80,200
244,1364,1364,40,80,200
245,1370,1370,40,80,200
246,1376,1376,40,80,200
247,1382,1382,40,80,200
248,1388,1388,40,80,200
249,1394,1394,40,80,200
250,1400,1400,40,80,200
251,1406,1406,40,80,200
252,1412,1412,40,80,200
253,1418,1418,40,80,200
254,1424,1424,40,80,200
255,1430,1430,40,80,200
256,1436,1436,40,80,200
257,1442,1442,40,80,200
258,1448,1448,40,80,200
259,1454,1454,40,80,200
260,1460,1460,40,80,200
261,1466,1466,40,80,200
262,1472,1472,40,80,200
263,1478,1478,40,80,200
264,1484,1484,40,80,200
265,1490,1490,40,80,200
266,1496,1496,40,80,200
267,1502,1502,40,80,200
268,1508,1508,40,80,200
269,1514,1514,40,80,200
