ID,事件名,事件描述,事件等级,Mercenary ID,任务类型（1，战斗任务 2，道具任务 3，资源任务 4，纯事件）,怪物组ID,战斗怪物组,需求道具,货币类型,需求数量,失败冷却（单位秒）,奖励组,掉落次数
number,string,string,number,number,number,number,string,number,string,string,number,number,number
ID,name,desc,level,mercenary_id,event_type,monster_id,battle_monsters,need_item_id,need_resource_id,need_num,fail_cd,reward_id,reward_times
1000001,战斗事件,#1#大叔…有人让我和你战斗…#2#我就知道你是来杀我的杀手！戴墨镜的十有八九都是杀手。#1#你自己不也戴着吗？,,16000013,1,1000001,,,,,2,100000100,1
1000002,战斗事件,#2#别以为我不知道，你只是想吸引我的关注罢了。#1#……#2#像你这种人还不如米粒能引起我的关注，我介意的人才不是你呢#1#……你戴上眼镜看着我再说一次。,,16000012,1,1000002,,,,,2,100000200,1
1000003,战斗事件,#1#喂，有人在吗？#2#你好，没有人的。哈哈哈哈哈。#1#谢谢(→_→),,18000021,1,1000003,,,,,2,100000300,1
1000004,战斗事件,#2#听着，就算是在战斗的时候，也不要忘记一颗冷笑话的心#1#(￣.￣)+,,18000019,1,1000004,,,,,2,100000400,1
1000005,战斗事件,#1#喂，你好歹也是个攘夷志士吧！光天化日之下欺负一个女孩子，算什么武士！#2#呵呵呵，女人又怎样，我要破坏这个腐烂的世界，破坏所有一切,,19000020,1,1000005,,,,,2,100000500,1
1000006,战斗事件,#2#看到可疑的家伙不用犹豫，全部给我放倒！责任由我来负！#1#刚刚冲田说他要去把所有武士都砍了#2#我有点急事，要先走。大家挺好，刚才的话算我没说。,,17000014,1,1000006,,,,,2,100000600,1
1000007,战斗事件,#2#快向我下跪吧……愚民们。#1#其实你的声音更适合说“吵死了吵死了吵死了”,,18000012,1,1000007,,,,,2,100000700,1
1000008,战斗事件,#1#新吧唧，你和新一唧是什么关系？#2#新一唧加上了嘴炮技能就是我了,,16000010,1,1000008,,,,,2,100000800,1
1000009,战斗事件,#1#哇，那边那位美女……#2#哎呀，你也想吃炒鸡蛋吗？(^ω^)#1#(ロ)。。,,16000011,1,1000009,,,,,2,100000900,1
1000010,战斗事件,#2#知道格力高为什么好吃吗？就是因为他细啊！#1#原来如此。#2#所以说，人生的路也是要细一点比较有趣。,,19000007,1,1000010,,,,,2,100001000,1
1000011,战斗事件,#2#哎。#1#怎么了？#2#怎样才能忘记一个人？#1#左手红线，右手黑线，把红线和黑线接入电压中，就可以忘了。,,17000025,1,1000011,,,,,2,100001100,1
1000012,战斗事件,#1#虓虎，飞将，果然只有起错的名字，没有起错的外号吗#2#哈哈哈，眼光不错啊,,18000011,1,1000012,,,,,2,100001200,1
1000013,战斗事件,#2#瞧一瞧，看一看了啊，上好的宝剑……看看，多锋利！削铁如泥，杀人不沾血！#1#让我试试#2#客官且慢，我这剑，一般人摸不得，客官既然摸了，就买下它。#1#哈？我不要#2#容不得你不要,,19000041,1,1000013,,,,,2,100001300,1
1000014,战斗事件,#2#最近刚出院#1#你怎么了？#2#前两天有个苍蝇老爱在我腿上爬，我一怒之下就用青龙偃月刀把它砍了。,,18000009,1,1000014,,,,,2,100001400,1
1000015,战斗事件,#2#三国争霸，知道最后为啥我赢了吗？#1#为啥呀#2#因为我亲民。#1#哦哦，说起来你以前是摆地摊卖草鞋的，所以你儿子也是吃草长大的吧……喂，别动手啊！,,19000032,1,1000015,,,,,2,100001500,1
1000016,战斗事件,#2#自从遇见阿金之前我没遇到过什么好男人。#1#知道你对金桑是真爱了，你说了很多次了。#2#但现在我发现好男人好多。,,16000012,1,1000016,,,,,2,100001600,1
1000017,战斗事件,#2#治疗痔疮你有没有什么好办法#1#晒晒月亮……,,17000006,1,1000017,,,,,2,100001700,1
1000018,战斗事件,#2#金克木，木克水，水克火，火克风，风克土，土克金。记住了吗？#1#记住了#2#什么克风？#1#麦克风,,19000060,1,1000018,,,,,2,100001800,1
1000019,战斗事件,#2#我的梦想…只存在于过去#1#虽然也许是大话，但是我真心觉得你的梦想可以在未来,,19000054,1,1000019,,,,,2,100001900,1
1000020,战斗事件,#2#我要去证明给他看，在这个世上英雄……还是存在的！#1#真是直白到震撼人心的话语#2#嘻嘻，我向来有话直说，说到做到，这就是我的忍道！,,18000042,1,1000020,,,,,2,100002000,1
