ID,类型,返利天数,返利类型,子类型,返利数量,描述,描述,描述,描述,描述,描述,描述,描述
number,number,number,string,string,string,string,string,string,string,string,string,string,string
ID,type,step,reward_type,param1,param2,desc,desc_en-US,desc_de,desc_fr,desc_ru,desc_es-MX,desc_pt-BR,desc_tr-TR
1,1,1,2|1,2|10000020,500|1,投资后可获得大量血钻和道具,Invest to gain tons of Gems and items!,"Investiere, um reichlich Edelsteine und Items zu erhalten!!",Investis et gagne des tonnes de Gemmes et d'objets !,Делай инвестиции и получай рубины и предметы!,¡Invierte para ganar un montón de gemas y objetos!,Invest to gain tons of Gems and items!,Invest to gain tons of Gems and items!
2,1,2,2|2|2,2|28|3,100|5|200,,,,,,,,
3,1,3,2|2|2,2|28|3,100|5|200,,,,,,,,
4,1,4,2|2|2,2|28|3,100|5|200,,,,,,,,
5,1,5,2|2|2,2|28|3,100|5|200,,,,,,,,
6,1,6,2|2|2,2|28|3,100|5|200,,,,,,,,
7,1,7,2|2|2,2|28|3,100|5|200,,,,,,,,
8,1,8,2|2|2,2|28|3,100|5|200,,,,,,,,
9,1,9,2|2|2,2|28|3,100|5|200,,,,,,,,
10,1,10,2|2|2,2|28|3,100|5|200,,,,,,,,
11,1,11,2|2|2,2|28|3,100|5|200,,,,,,,,
12,1,12,2|2|2,2|28|3,100|5|200,,,,,,,,
13,1,13,2|2|2,2|28|3,100|5|200,,,,,,,,
14,1,14,2|2|2,2|28|3,100|5|200,,,,,,,,
15,1,15,2|2|2,2|28|3,100|5|200,,,,,,,,
16,1,16,2|2|2,2|28|3,100|5|200,,,,,,,,
17,2,1,2|8,2|19000127,2500|1,投资后可获得大量血钻和道具,Invest to gain tons of Gems and items!,"Investiere, um reichlich Edelsteine und Items zu erhalten!!",Investis et gagne des tonnes de Gemmes et d'objets !,Делай инвестиции и получай рубины и предметы!,¡Invierte para ganar un montón de gemas y objetos!,Invest to gain tons of Gems and items!,Invest to gain tons of Gems and items!
18,2,2,2|2|2,2|26|3,650|5|800,,,,,,,,
19,2,3,2|2|2,2|26|3,650|5|800,,,,,,,,
20,2,4,2|2|2,2|26|3,650|5|800,,,,,,,,
21,2,5,2|2|2,2|26|3,650|5|800,,,,,,,,
22,2,6,2|2|2,2|26|3,650|5|800,,,,,,,,
23,2,7,2|2|2,2|26|3,650|5|800,,,,,,,,
24,2,8,2|2|2,2|26|3,650|5|800,,,,,,,,
25,2,9,2|2|2,2|26|3,650|5|800,,,,,,,,
26,2,10,2|2|2,2|26|3,650|5|800,,,,,,,,
27,2,11,2|2|2,2|26|3,650|5|800,,,,,,,,
28,2,12,2|2|2,2|26|3,650|5|800,,,,,,,,
29,2,13,2|2|2,2|26|3,650|5|800,,,,,,,,
30,2,14,2|2|2,2|26|3,650|5|800,,,,,,,,
31,2,15,2|2|2,2|26|3,650|5|800,,,,,,,,
32,2,16,2|2|2,2|26|3,650|5|800,,,,,,,,
33,3,1,2|8,2|19000080,5000|1,投资后可获得大量血钻和道具,Invest to gain tons of Gems and items!,"Investiere, um reichlich Edelsteine und Items zu erhalten!!",Investis et gagne des tonnes de Gemmes et d'objets !,Делай инвестиции и получай рубины и предметы!,¡Invierte para ganar un montón de gemas y objetos!,Invest to gain tons of Gems and items!,Invest to gain tons of Gems and items!
34,3,2,2|2|2,2|27|3,1500|5|1200,,,,,,,,
35,3,3,2|2|2,2|27|3,1500|5|1200,,,,,,,,
36,3,4,2|2|2,2|27|3,1500|5|1200,,,,,,,,
37,3,5,2|2|2,2|27|3,1500|5|1200,,,,,,,,
38,3,6,2|2|2,2|27|3,1500|5|1200,,,,,,,,
39,3,7,2|2|2,2|27|3,1500|5|1200,,,,,,,,
40,3,8,2|2|2,2|27|3,1500|5|1200,,,,,,,,
41,3,9,2|2|2,2|27|3,1500|5|1200,,,,,,,,
42,3,10,2|2|2,2|27|3,1500|5|1200,,,,,,,,
43,3,11,2|2|2,2|27|3,1500|5|1200,,,,,,,,
44,3,12,2|2|2,2|27|3,1500|5|1200,,,,,,,,
45,3,13,2|2|2,2|27|3,1500|5|1200,,,,,,,,
46,3,14,2|2|2,2|27|3,1500|5|1200,,,,,,,,
47,3,15,2|2|2,2|27|3,1500|5|1200,,,,,,,,
48,3,16,2|2|2,2|27|3,1500|5|1200,,,,,,,,
