ID,A,B,C
number,string,string,string
ID,r1,r2,r3
1,奇特的,矮人,铁匠
2,独特的,亡灵,土豪
3,神奇的,人类,逗比
4,怪异的,侏儒,屌丝
5,单身的,地精,法师
6,结婚的,精灵,萨满
7,恋爱的,龙族,牧师
8,冲动的,妖精,盗贼
9,冷静的,兽人,猎人
10,温柔的,神族,骑士
11,冒失的,魔族,术士
12,装死的,娜迦,祭司
13,卖萌的,巨魔,剑士
14,持盾的,禽族,商贩
15,制杖的,矮人,道士
16,撒币的,巨人,刺客
17,贩剑的,人偶,弓手
18,装B的,精灵,力士
19,犯2的,亡灵,游侠
20,孤独的,论外,忍者
21,骄傲的,天使,巫师
22,傲娇的,雪人,飞羽
23,奇怪的,恶魔,武圣
24,孤高的,贵族,赌徒
25,高傲的,御宅,小丑
26,高冷的,神族,特工
27,不幸的,狼人,剑客
28,幸运的,银狼,守卫
29,失恋的,蜘蛛,神官
30,神秘的,团子,主教
31,被喷的,树人,巫女
32,被捧的,半神,农夫
33,生气的,蛮族,矿工
34,伤心的,圣灵,公举
35,悲伤的,鲛人,工匠
36,高兴的,海族,武僧
37,被打的,鱼人,诗人
38,有名的,羽人,学者
39,无名的,天人,狂战
40,有爱的,妖族,武士
41,搞笑的,亚人,萝莉
42,作死的,西斯,软妹
43,感冒的,灵族,巫师
44,穿越的,古人,魔导
45,楼上的,幽灵,猎手
46,楼下的,血族,射手
47,隔壁的,马猴,舞者
48,暴力的,混血,影者
49,天然的,死亡,贤者
50,机智的,人鱼,盾卫
51,正直的,外星,刺客
52,迅捷的,异族,巨星
53,给力的,人造,镖师
54,灵敏的,萌娘,市井
55,坚强的,龙套,文士
56,努力的,★,捕快
57,平凡的,♂,商贾
58,可爱的,☆,琴师
59,成熟的,●,歌者
60,幼稚的,,乐师
61,天真的,,侍僧
62,独眼的,,浪人
63,危险的,,裁缝
64,单纯的,,厨师
65,病娇的,,君主
66,无口的,,美工
67,三无的,,码农
68,傻白甜,,美术
69,腹黑的,,设计湿
70,路痴的,,铲屎官
71,工口的,,女盆友
72,呆的,,班主任
73,毒舌的,,背锅侠
74,热血的,,富二代
75,天才的,,渔民
76,S的,,画师
77,M的,,UP主
78,迟钝的,,潜行者
79,元气的,,女仆
80,同桌的,,圣骑士
81,黑瞳的,,角斗士
82,赤瞳的,,老板娘
83,银发的,,武僧
84,死鱼眼,,修女
85,粉毛的,,死神
86,眯眯眼,,loli控
87,黑长直,,大叔控
88,凌乱的,,脚控
89,嗜血的,,正太
90,自恋的,,制服控
91,怪力的,,神父
92,精分的,,兔女郎
93,中二的,,圣祭司
94,近视的,,魔导师
95,嗜睡的,,穿心者
96,炸毛的,,追猎者
97,妄想的,,coser
98,关西腔,,猎魔人
99,天然呆,,上班族
100,黑化的,,占卜师
101,★kira,,小学生
102,★,,大队长
103,@_@,,律师
104,★_★,,兵团长
105,0_0,,女王
106,♂,,怪盗
107,☆,,道姑
108,玛丽苏,,狂战士
109,双马尾,,元素使
110,●,,督军
111,,,武僧
112,,,武术家
113,,,运动员
114,,,幻灵师
115,,,吉他手
116,,,火枪手
117,,,神射手
118,,,机甲师
119,,,战士
120,,,大小姐
121,,,王叔叔
