ID,资源名,品质,图标,描述,奖励id,使用限制（1，表示一天只能吃一次）,Key,自定义参数
number,string,number,string,string,number,boolean,string,number
ID,name,quality,icon,desc,reward_id,daily_limit,key,user_defined_param
1,金币,1,icon/resource/gold_coin.png,通用货币，挂机可得，觉醒，开启宝具，招募佣兵等需要，来一起撒币吗,,,,
2,血钻,5,icon/resource/blood_diamond.png,非常珍贵的货币，可用于招募佣兵，购买商品等，充值，活动，关卡奖励等获得,,,,
3,荣誉碎片,4,icon/resource/soul_chip.png,神殿复活/升级工坊/限界突破，解雇佣兵可得。,,,,
4,王者之章,5,icon/resource/king_medal.png,可兑换pvp奖品，可从竞技场排名赛赢取。,,,,
5,恶魔徽章,4,icon/resource/demon_medal.png,用于打开boss之门，挑战boss。可从地下探险和巨魔巢穴中获得。,,,,
6,冒险徽章,5,icon/resource/adventure_medal.png,,,,,
7,铜,2,icon/resource/copper.png,初级资源，用于强化／解锁背包，获得途径：在地下3-35米挖矿，巨魔巢穴。,,,,
8,铁,2,icon/resource/iron.png,初级资源，用于强化／解锁背包，获得途径：在地下36-65米挖矿，巨魔巢穴。,,,,
9,银,2,icon/resource/silver.png,初级资源，用于强化／解锁背包，获得途径：在地下36-105米挖矿，巨魔巢穴。,,,,
10,锡,2,icon/resource/tin.png,初级资源，用于强化／解锁背包，获得途径：在地下6-50米挖矿，巨魔巢穴。,,,,
11,黄金,2,icon/resource/gold.png,初级资源，用于强化／解锁背包，获得途径：在地下66-300米挖矿，巨魔巢穴。,,,,
12,钻石,3,icon/resource/diamond.png,中级资源，用于强化／解锁背包，获得途径：在地下121-300米挖矿，巨魔巢穴。,,,,
13,泰坦铁,4,icon/resource/titan_iron.png,中级资源，用于强化／解锁背包，获得途径：在地下206-300米挖矿，巨魔巢穴。,,,,
14,红宝石,3,icon/resource/ruby.png,中级资源，用于强化／解锁背包，获得途径：在地下21-65米挖矿，巨魔巢穴。,,,,
15,紫宝石,3,icon/resource/purple_gem.png,中级资源，用于强化／解锁背包，获得途径：在地下51-105米挖矿，巨魔巢穴。,,,,
16,绿宝石,3,icon/resource/emerald.png,中级资源，用于强化／解锁背包，获得途径：在地下86-300米挖矿，巨魔巢穴。,,,,
17,黄宝石,3,icon/resource/topaz.png,中级资源，用于强化／解锁背包，获得途径：在地下106-300米挖矿，巨魔巢穴。,,,,
18,巨魔雕像,5,icon/resource/golem.png,初级资源，用于觉醒，获得途径：击败矿区高级巨魔，巨魔巢穴。,,,,
19,赤魂晶,4,icon/resource/red_soul_crystal.png,高级资源，用于锻造宝具，击败矿区boss可得。,,,,
20,碧魂晶,4,icon/resource/green_soul_crystal.png,高级资源，用于锻造宝具，击败矿区boss可得。,,,,
21,光魂晶,4,icon/resource/light_soul_crystal.png,高级资源，用于锻造宝具，击败矿区boss可得。,,,,
22,影魂晶,4,icon/resource/dark_soul_crystal.png,高级资源，用于锻造宝具，击败矿区boss可得。,,,,
23,地狱硫磺,5,icon/resource/inferno_brimstone.png,高级资源，用于高级强化，击败魇魔可得。,,,,
24,时间之砂,5,icon/resource/time_sand.png,高级资源，用于高级强化，击败魇魔可得。,,,,
25,初级矿石包,2,icon/resource/junior_tool.png,内含少量初级/中级资源（不含巨魔雕像，血钻商店可购买）,48000001,,,
26,中级矿石包,3,icon/resource/intermediate_tool.png,内含中量初级/中级资源（血钻商店可购买）,48000012,,,
27,高级矿石包,4,icon/resource/senior_tool.png,内含中量中级/高级资源（血钻商店可购买）,48000027,,,
28,雷管,5,icon/resource/tnt.png,可瞬间炸碎1x1的任何地块。（血钻商店可购买，竞技场可兑换）,,,,
29,矿工包,5,icon/resource/ultimate_tool.png,立刻恢复5点挖掘次数。（无视矿镐次数上限）,1100004,,,
30,圣十字架,3,icon/resource/contract_res1.png,神圣的十字架，合成材料之一。圣光忽悠着你。（可从矿区宝箱和高级boss中获得）,,,,
31,幽蓝之颅,3,icon/resource/contract_res2.png,水晶般的骷髅头，合成材料之一。寒冰与死亡同在。（可从矿区宝箱和高级boss中获得）,,,,
32,熔岩之心,3,icon/resource/contract_res3.png,熔岩内部的奇怪石头，合成材料之一。热量才是生物根本。（可从矿区宝箱和高级boss中获得）,,,,
33,亲热天堂,4,icon/resource/contract_res5.png,少儿不宜的产销书，合成材料之一。打开前请确认自己是否超过18周岁。（可从矿区宝箱和高级boss中获得）,,,,
