ID,特效名,帧数,行,列,帧速度（ms）,图片,音效
number,string,number,number,number,number,string,string
ID,name,frame_num,frame_row,frame_col,frame_speed,sprite,sound_effect
200001,念咒,14,3,5,50,200001,se_11
200002,蓄力,30,6,5,30,200002,se_17
110001,普通攻击,11,3,5,50,110001,se_12
110002,炎攻击,8,2,5,100,110002,se_18
110003,冰攻击,8,2,5,100,110003,se_4
110004,爪,7,2,5,100,110004,se_21
110005,音攻击,6,2,5,100,110005,se_19
110006,火斩,9,2,5,100,110006,se_8
110007,冰斩,8,2,5,100,110007,se_5
110008,雷斩,9,2,5,100,110008,se_22
110009,火爆,15,3,5,50,110009,se_1
110010,冰爆,15,3,5,50,110010,se_1
110011,圣爆,15,3,5,50,110011,se_1
110012,暗爆,15,3,5,50,110012,se_1
110013,振击,15,2,8,50,110013,se_22
110014,毒击,14,3,5,50,110014,se_7
110015,连斩,16,4,5,50,110015,se_10
110016,必杀斩,24,5,5,50,110016,se_3
110017,连刺,30,2,15,30,110017,se_9
110018,爆破,25,5,5,30,110018,se_2
110019,大爆破,24,5,5,30,110019,se_6
120001,生命恢复,30,6,5,50,120001,se_14
120002,王者祝福,14,1,20,50,120002,se_15
120003,神圣祈祷,22,2,11,30,120003,se_13
120004,吸血,10,2,5,50,120004,se_16
